Quarter,Time,Tm,Detail,LVR,KAN
1.0,8:37,Raiders,Davante Adams 58 yard pass from Derek Carr (Daniel Carlson kick),7,0
2.0,14:00,Raiders,Josh Jacobs 1 yard rush (Daniel Carlson kick),14,0
,9:22,Raiders,Daniel Carlson 53 yard field goal,17,0
,4:40,Chiefs,Travis Kelce 1 yard pass from Patrick Mahomes (Matthew Wright kick),17,7
,0:17,Raiders,Daniel Carlson 50 yard field goal,20,7
,0:00,Chiefs,Matthew Wright 59 yard field goal,20,10
3.0,9:25,Chiefs,Travis Kelce 4 yard pass from Patrick Mahomes (Matthew Wright kick),20,17
,3:20,Chiefs,Travis Kelce 8 yard pass from Patrick Mahomes (Matthew Wright kick),20,24
4.0,14:05,Raiders,Daniel Carlson 47 yard field goal,23,24
,7:25,Chiefs,Travis Kelce 1 yard pass from Patrick Mahomes (pass failed),23,30
,4:27,Raiders,Davante Adams 48 yard pass from Derek Carr (run failed),29,30
