Unnamed: 0,LVR,KAN
First Downs,18,29
Rush-Yds-TDs,24-155-1,23-103-0
Cmp-Att-Yd-TD-INT,19-30-241-2-0,29-43-292-4-0
Sacked-Yards,2-18,3-27
Net Pass Yards,223,265
Total Yards,378,368
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,11-99,5-72
Third Down Conv.,5-12,7-12
Fourth Down Conv.,1-2,0-0
Time of Possession,28:53,31:07
