Quarter,Time,Down,ToGo,Location,WAS,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,WAS 30,0,0,"Graham Gano kicks off 69 yards, returned by Ellis Hobbs for 27 yards (tackle by Reed Doughty)",0.000,0.810
1,14:55,1,10,PHI 28,0,0,Michael Vick pass complete short right to LeSean McCoy for no gain,0.810,0.260
1,14:17,2,10,PHI 28,0,0,Michael Vick pass complete short left to LeSean McCoy for 7 yards (tackle by Rocky McIntosh),0.260,0.500
1,13:35,3,3,PHI 35,0,0,Michael Vick pass incomplete short left intended for LeSean McCoy,0.500,-1.040
1,13:27,4,3,PHI 35,0,0,"Saverio Rocca punts 57 yards, returned by Brandon Banks for 53 yards (tackle by Omar Gaither)",-1.040,-2.980
1,13:12,1,10,PHI 39,0,0,"Santana Moss right end for 5 yards (tackle by Quintin Mikell). Penalty on Quintin Mikell: Horse Collar Tackle, 15 yards",2.980,4.310
1,12:45,1,10,PHI 19,0,0,Clinton Portis left end for 7 yards (tackle by Ellis Hobbs),4.310,4.920
1,12:08,2,3,PHI 12,6,0,"Ryan Torain left end for 12 yards, touchdown",4.920,7.000
1,,,,PHI 2,7,0,Graham Gano kicks extra point good,0.000,0.000
1,,,,WAS 30,7,0,"Graham Gano kicks off 74 yards, returned by Jorrick Calvin for 21 yards (tackle by Lorenzo Alexander)",0.000,-0.060
1,11:58,1,10,PHI 17,7,0,Michael Vick middle for 13 yards (tackle by Kareem Moore and LaRon Landry),-0.060,0.940
1,11:20,1,10,PHI 30,7,0,Mike Bell left tackle for 2 yards (tackle by Kedric Golston),0.940,0.660
1,10:42,2,8,PHI 32,7,0,LeSean McCoy left tackle for 5 yards (tackle by Rocky McIntosh),0.660,0.630
1,10:01,3,3,PHI 37,7,0,LeSean McCoy middle for 2 yards (tackle by Albert Haynesworth),0.630,-0.780
1,9:23,4,1,PHI 39,7,0,"Saverio Rocca punts 55 yards, returned by Brandon Banks for 16 yards (tackle by Omar Gaither)",-0.780,-0.410
1,9:12,1,10,WAS 22,7,0,Clinton Portis right end for 7 yards (tackle by Stewart Bradley),0.410,0.810
1,8:38,2,3,WAS 29,7,0,Clinton Portis left end for 11 yards (tackle by Nate Allen),0.810,1.600
1,8:02,1,10,WAS 40,7,0,Donovan McNabb pass incomplete deep left intended for Fred Davis,1.600,1.050
1,7:55,2,10,WAS 40,7,0,Ryan Torain left end for 13 yards (tackle by Brandon Graham),1.050,2.460
1,7:28,1,10,PHI 47,7,0,Clinton Portis left end for -3 yards (tackle by Trent Cole),2.460,1.510
1,6:48,2,13,,7,0,Donovan McNabb pass complete short left to Clinton Portis for 14 yards (tackle by Kurt Coleman),1.510,3.180
1,6:04,1,10,PHI 36,7,0,Ryan Torain right end for no gain (tackle by Juqua Parker),3.180,2.640
1,5:25,2,10,PHI 36,7,0,Ryan Torain for 5 yards (tackle by Ernie Sims),2.640,2.610
1,4:53,3,5,PHI 31,13,0,"Donovan McNabb pass complete deep left to Chris Cooley for 31 yards, touchdown",2.610,7.000
1,,,,PHI 2,14,0,Graham Gano kicks extra point good,0.000,0.000
1,,,,WAS 30,14,0,"Graham Gano kicks off 68 yards, returned by Jorrick Calvin for 24 yards (tackle by Darrel Young)",0.000,0.670
1,4:40,1,10,PHI 26,14,0,Michael Vick pass complete short middle to Jason Avant for 5 yards (tackle by Rocky McIntosh),0.670,0.810
1,4:10,2,5,PHI 31,14,0,Michael Vick pass complete short middle to LeSean McCoy for 31 yards (tackle by Lorenzo Alexander),0.810,3.050
1,3:23,1,10,WAS 38,14,0,Michael Vick pass complete short right to DeSean Jackson for 6 yards (tackle by London Fletcher),3.050,3.320
1,2:42,2,4,WAS 32,14,0,Michael Vick for 3 yards,3.320,3.010
1,2:14,3,1,WAS 29,14,0,LeSean McCoy middle for no gain (tackle by Albert Haynesworth),3.010,1.620
1,1:59,4,1,WAS 29,14,0,Michael Vick middle for 1 yard (tackle by London Fletcher),1.620,3.710
1,1:23,1,10,WAS 28,14,0,Michael Vick pass incomplete deep middle intended for Brent Celek,3.710,3.170
1,1:18,2,10,WAS 28,14,0,LeSean McCoy left end for 4 yards (tackle by Kedric Golston),3.170,3.010
1,0:36,3,6,WAS 24,14,0,"Michael Vick middle for 23 yards (tackle by DeAngelo Hall and Kareem Moore). Penalty on Max Jean-Gilles: Offensive Holding, 10 yards (no play)",3.010,1.680
1,0:06,3,16,WAS 34,14,0,Kevin Kolb pass complete short left to Jason Avant for 3 yards (tackle by Carlos Rogers and Andre Carter),1.680,1.320
Quarter,Time,Down,ToGo,Location,WAS,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,13,WAS 31,14,3,David Akers 49 yard field goal good,1.320,3.000
2,,,,PHI 30,14,3,"David Akers kicks off 70 yards, touchback",0.000,0.280
2,14:55,1,10,WAS 20,14,3,Donovan McNabb pass complete short right to Chris Cooley for 6 yards (tackle by Brandon Graham),0.280,0.540
2,14:20,2,4,WAS 26,14,3,Clinton Portis middle for 6 yards (tackle by Trent Cole),0.540,1.070
2,13:46,1,10,WAS 32,14,3,Donovan McNabb pass incomplete short left intended for Joey Galloway,1.070,0.530
2,13:38,2,10,WAS 32,14,3,Ryan Torain left end for -5 yards (tackle by Mike Patterson),0.530,-0.820
2,13:06,3,15,WAS 27,14,3,Donovan McNabb pass complete deep right to Anthony Armstrong for 57 yards,-0.820,4.510
2,12:38,1,10,PHI 16,14,3,Clinton Portis right guard for 1 yard (tackle by Nate Allen),4.510,4.050
2,12:06,2,9,PHI 15,14,3,Donovan McNabb pass complete short right to Clinton Portis for 12 yards (tackle by Nate Allen),4.050,6.510
