Unnamed: 0,WAS,PHI
First Downs,16,21
Rush-Yds-TDs,35-169-1,25-110-0
Cmp-Att-Yd-TD-INT,8-19-125-1-1,27-42-250-1-1
Sacked-Yards,1-1,1-7
Net Pass Yards,124,243
Total Yards,293,353
Fumbles-Lost,0-0,4-1
Turnovers,1,2
Penalties-Yards,5-30,8-80
Third Down Conv.,5-11,5-14
Fourth Down Conv.,0-0,2-2
Time of Possession,27:03,32:57
