Quarter,Time,Down,ToGo,Location,DEN,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Broncos to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Justin Tucker kicks off 59 yards, returned by Montrell Washington for 11 yards (tackle by Daryl Worley)",0.000,-0.060
1,14:56,1,10,DEN 17,0,0,Latavius Murray left tackle for 3 yards (tackle by Calais Campbell and Marlon Humphrey),-0.060,-0.060
1,14:25,2,7,DEN 20,0,0,Russell Wilson pass complete short left to Greg Dulcich for 8 yards (tackle by Marlon Humphrey),-0.060,0.810
1,13:54,1,10,DEN 28,0,0,Latavius Murray up the middle for 7 yards (tackle by Jason Pierre-Paul),0.810,1.210
1,13:32,2,3,DEN 35,0,0,Latavius Murray left guard for 2 yards (tackle by Roquan Smith),1.210,0.760
1,12:56,3,1,DEN 37,0,0,Latavius Murray up the middle for 2 yards (tackle by Justin Madubuike),0.760,1.530
1,12:20,1,10,DEN 39,0,0,Marlon Mack left end for 4 yards (tackle by Patrick Queen),1.530,1.530
1,11:51,2,6,DEN 43,0,0,Russell Wilson pass complete short middle to Greg Dulcich for 19 yards (tackle by Patrick Queen),1.530,3.050
1,11:15,1,10,BAL 38,0,0,Latavius Murray up the middle for 3 yards (tackle by Marlon Humphrey),3.050,2.910
1,10:38,2,7,BAL 35,0,0,Latavius Murray left tackle for 2 yards (tackle by Roquan Smith and Brent Urban),2.910,2.480
1,9:54,3,5,BAL 33,0,0,Mike Boone left tackle for -1 yards (tackle by Patrick Queen),2.480,1.070
1,9:09,4,6,BAL 34,3,0,Brandon McManus 52 yard field goal good,1.070,3.000
1,9:03,,,DEN 35,3,0,"Brandon McManus kicks off 65 yards, returned by Devin Duvernay for 23 yards (tackle by Jalen Virgil and P.J. Locke)",0.000,0.480
1,8:59,1,10,BAL 23,3,0,Gus Edwards left tackle for 1 yard (tackle by DeShawn Williams and Jonathon Cooper),0.480,0.070
1,8:36,2,9,BAL 24,3,0,Lamar Jackson pass complete short left to Devin Duvernay for 4 yards (tackle by Alex Singleton and Patrick Surtain),0.070,-0.100
1,8:02,3,5,BAL 28,3,0,Lamar Jackson pass incomplete short middle intended for Mark Andrews,-0.100,-1.500
1,7:58,4,5,BAL 28,3,0,"Jordan Stout punts 52 yards, fair catch by Montrell Washington at DEN-20",-1.500,-0.280
1,7:50,1,10,DEN 20,3,0,Latavius Murray left tackle for 4 yards (tackle by Kyle Hamilton),0.280,0.270
1,7:21,2,6,DEN 24,3,0,Russell Wilson pass complete short left to Greg Dulcich for 5 yards (tackle by Roquan Smith),0.270,0.230
1,6:43,3,1,DEN 29,3,0,Latavius Murray up the middle for no gain (tackle by Justin Madubuike and Patrick Queen),0.230,-1.440
1,6:08,4,1,DEN 29,3,0,Corliss Waitman punts 39 yards downed by Delarrin Turner-Yell,-1.440,-1.070
1,5:58,1,10,BAL 32,3,0,Lamar Jackson up the middle for 9 yards (tackle by Alex Singleton),1.070,1.740
1,5:09,2,1,BAL 41,3,0,Gus Edwards left tackle for 3 yards (tackle by Baron Browning and Dre'Mont Jones),1.740,1.860
1,4:27,1,10,BAL 44,3,0,Lamar Jackson sacked by DeShawn Williams for -4 yards,1.860,0.780
1,3:42,2,14,BAL 40,3,0,Lamar Jackson pass complete short left to DeSean Jackson for 5 yards (tackle by Josey Jewell),0.780,0.760
1,3:06,3,9,BAL 45,3,0,Lamar Jackson pass complete short right to Devin Duvernay for 2 yards (tackle by Justin Simmons),0.760,-0.260
1,2:29,4,7,BAL 47,3,0,"Jordan Stout punts 34 yards, fair catch by Montrell Washington at DEN-19",-0.260,-0.150
1,2:24,1,10,DEN 19,3,0,Russell Wilson pass incomplete short right intended for Courtland Sutton,0.150,-0.390
1,2:20,2,10,DEN 19,3,0,Latavius Murray up the middle for 5 yards (tackle by Patrick Queen and Chuck Clark),-0.390,-0.420
1,1:38,3,5,DEN 24,3,0,Russell Wilson sacked by Marlon Humphrey for no gain,-0.420,-1.770
1,0:59,4,5,DEN 24,3,0,"Corliss Waitman punts 46 yards, fair catch by Devin Duvernay at BAL-30",-1.770,-0.940
1,0:54,1,10,BAL 30,3,0,Gus Edwards right tackle for 3 yards (tackle by Josey Jewell and Kareem Jackson),0.940,0.800
1,0:10,2,7,BAL 33,3,0,Lamar Jackson sacked by Jonathon Cooper for -6 yards,0.800,-0.690
Quarter,Time,Down,ToGo,Location,DEN,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,13,BAL 27,3,0,Tyler Huntley pass complete short right to Devin Duvernay for 11 yards (tackle by Damarri Mathis),-0.690,-0.850
2,14:12,4,2,BAL 38,3,0,"Jordan Stout punts 53 yards, returned by Montrell Washington for 5 yards (tackle by Justice Hill)",-0.850,0.280
2,14:01,1,10,DEN 14,3,0,Latavius Murray left tackle for 7 yards (tackle by Kyle Hamilton and Chuck Clark),-0.280,0.280
2,13:21,2,3,DEN 21,3,0,Mike Boone left end for 6 yards (tackle by Marlon Humphrey),0.280,0.740
2,12:54,1,10,DEN 27,3,0,Latavius Murray right guard for 1 yard (tackle by Roquan Smith and Chuck Clark),0.740,0.330
2,12:19,2,9,DEN 28,3,0,Latavius Murray right end for 6 yards (tackle by Marcus Peters and Chuck Clark),0.330,0.430
2,11:44,3,3,DEN 34,3,0,Russell Wilson pass complete short left to Greg Dulcich for 1 yard (tackle by Geno Stone),0.430,-1.040
2,11:09,4,2,DEN 35,3,0,Corliss Waitman punts 35 yards downed by Jonathon Cooper,-1.040,-0.940
2,10:57,1,10,BAL 30,3,0,Kenyan Drake right guard for 4 yards (tackle by Justin Simmons and Mike Purcell),0.940,0.930
2,10:24,2,6,BAL 34,3,0,Tyler Huntley pass complete short left to Mark Andrews for 22 yards (tackle by Kareem Jackson),0.930,2.650
2,9:49,1,10,DEN 44,3,0,Tyler Huntley pass complete short left to Demarcus Robinson for 5 yards (tackle by Patrick Surtain),2.650,2.780
2,9:32,2,5,DEN 39,3,0,Tyler Huntley up the middle for 2 yards (tackle by Alex Singleton),2.780,2.350
2,8:55,3,3,DEN 37,3,0,Devin Duvernay left end for 10 yards (tackle by Josey Jewell),2.350,3.780
2,8:21,1,10,DEN 27,3,0,Tyler Huntley pass complete short right to DeSean Jackson for 5 yards (tackle by Damarri Mathis),3.780,3.910
