Unnamed: 0,DEN,BAL
First Downs,12,20
Rush-Yds-TDs,28-88-0,28-103-1
Cmp-Att-Yd-TD-INT,17-22-189-0-0,30-37-198-0-2
Sacked-Yards,2-5,4-16
Net Pass Yards,184,182
Total Yards,272,285
Fumbles-Lost,0-0,1-0
Turnovers,0,2
Penalties-Yards,4-48,3-15
Third Down Conv.,2-12,3-13
Fourth Down Conv.,0-0,3-3
Time of Possession,27:31,32:29
