Quarter,Time,Down,ToGo,Location,ARI,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,OAK 44,7,0,"Derek Carr pass incomplete deep right intended for James Jones. Penalty on Patrick Peterson: Defensive Holding, 5 yards (no play)",1.860,2.190
2,14:54,1,10,OAK 49,7,0,Maurice Jones-Drew up the middle for 3 yards (tackle by Ed Stinson),2.190,2.050
2,14:14,2,7,ARI 48,7,0,Derek Carr pass incomplete short middle intended for Andre Holmes,2.050,1.360
2,14:10,3,7,ARI 48,7,0,Derek Carr up the middle for 3 yards (tackle by Kareem Martin),1.360,0.270
2,13:33,4,4,ARI 45,7,0,"Marquette King punts 31 yards, fair catch by Ted Ginn",0.270,0.280
2,13:24,1,10,ARI 14,7,0,Carson Palmer pass complete short right to Larry Fitzgerald for 7 yards (tackle by Khalil Mack),-0.280,0.280
2,12:47,2,3,ARI 21,7,0,Andre Ellington left tackle for 2 yards (tackle by Khalil Mack),0.280,-0.320
2,12:04,3,1,ARI 23,7,0,Carson Palmer pass complete short right to Andre Ellington for 5 yards (tackle by Ray-Ray Armstrong),-0.320,0.810
2,11:30,1,10,ARI 28,7,0,"Penalty on Paul Fanaika: False Start, 5 yards (no play)",0.810,0.480
2,11:08,1,15,ARI 23,7,0,Carson Palmer pass complete short left to John Brown for 19 yards (tackle by Usama Young),0.480,1.730
2,10:31,1,10,ARI 42,7,0,Carson Palmer pass incomplete deep left intended for John Brown,1.730,1.190
2,10:24,2,10,ARI 42,7,0,Carson Palmer pass incomplete short right intended for Andre Ellington (defended by Benson Mayowa),1.190,0.500
2,10:16,3,10,ARI 42,7,0,Carson Palmer sacked by Usama Young for -11 yards,0.500,-1.310
2,9:44,4,21,ARI 31,7,0,"Drew Butler punts 54 yards, returned by Travis Carrie for 10 yards (tackle by Rob Housler). Penalty on Brice Butler: Illegal Block Above the Waist, 10 yards",-1.310,0.220
2,9:25,1,10,OAK 15,7,0,Darren McFadden up the middle for 1 yard (tackle by Kevin Minter),-0.220,-0.580
2,8:49,2,9,OAK 16,7,0,Darren McFadden up the middle for 2 yards (tackle by Rashad Johnson),-0.580,-1.000
2,8:13,3,7,OAK 18,7,0,Derek Carr sacked by Larry Foote for -9 yards,-1.000,-2.490
2,7:38,4,16,OAK 9,7,0,"Marquette King punts 41 yards, fair catch by Ted Ginn",-2.490,-2.260
2,7:30,1,10,,7,0,Carson Palmer pass complete short left to Michael Floyd for 15 yards (tackle by Tarell Brown),2.260,3.250
2,7:07,1,10,OAK 35,7,0,Andre Ellington right end for -3 yards (tackle by Sio Moore),3.250,2.300
2,6:25,2,13,OAK 38,7,0,Andre Ellington up the middle for 5 yards (tackle by C.J. Wilson),2.300,2.280
2,5:44,3,8,OAK 33,13,0,"Carson Palmer pass complete deep left to Michael Floyd for 33 yards, touchdown",2.280,7.000
2,5:44,,,OAK 2,14,0,Chandler Catanzaro kicks extra point good,0.000,0.000
2,5:44,,,ARI 35,14,0,"Chandler Catanzaro kicks off 70 yards, returned by Travis Carrie for 26 yards (tackle by Tony Jefferson)",0.000,-0.340
2,5:33,1,10,OAK 21,14,0,Derek Carr pass complete short right to Darren McFadden for 2 yards (tackle by Deone Bucannon),0.340,0.070
2,4:56,2,8,OAK 23,14,0,Darren McFadden left tackle for 1 yard (tackle by Tommy Kelly),0.070,-0.490
2,4:18,3,7,OAK 24,14,0,Derek Carr pass complete short middle to Mychal Rivera for 18 yards (tackle by Patrick Peterson),-0.490,1.730
2,3:38,1,10,OAK 42,14,0,Derek Carr pass incomplete deep left intended for Andre Holmes,1.730,1.190
2,3:31,2,10,OAK 42,14,0,Derek Carr pass complete deep middle to Brice Butler for 55 yards (tackle by Rashad Johnson),1.190,6.510
2,2:55,1,3,ARI 3,14,0,Darren McFadden up the middle for no gain (tackle by Dan Williams),6.510,5.530
2,2:13,2,3,ARI 3,14,0,Darren McFadden right guard for 2 yards (tackle by Kareem Martin),5.530,5.170
2,2:00,3,1,ARI 1,14,6,"Darren McFadden right guard for 1 yard, touchdown",5.170,7.000
2,2:00,,,ARI 2,14,7,Sebastian Janikowski kicks extra point good,0.000,0.000
2,2:00,,,OAK 35,14,7,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.280
2,1:56,1,10,ARI 20,14,7,Carson Palmer pass complete short right to Andre Ellington for 4 yards (tackle by Carlos Rogers),0.280,0.270
2,1:51,2,6,ARI 24,14,7,Carson Palmer pass incomplete deep middle intended for John Carlson is intercepted by Charles Woodson at ARI-43 and returned for 30 yards,0.270,-4.710
2,1:40,1,10,ARI 13,14,7,Darren McFadden left guard for 2 yards (tackle by Alex Okafor),4.710,4.390
2,0:59,2,8,ARI 11,14,7,Derek Carr pass incomplete short right intended for Darren McFadden,4.390,3.450
2,0:54,3,8,ARI 11,14,7,Derek Carr pass incomplete short left intended for James Jones,3.450,2.700
2,0:49,4,8,ARI 11,14,10,Sebastian Janikowski 29 yard field goal good,2.700,3.000
2,0:49,,,OAK 35,14,10,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.280
2,0:45,1,10,ARI 20,14,10,Andre Ellington left end for 5 yards (tackle by Tarell Brown),0.280,0.410
2,0:39,2,5,ARI 25,14,10,Carson Palmer pass incomplete short middle intended for Andre Ellington,0.410,-0.300
2,0:35,3,5,ARI 25,14,10,Andre Ellington left end for 9 yards (tackle by Usama Young),-0.300,1.200
2,0:29,1,10,ARI 34,14,10,Carson Palmer pass incomplete deep middle intended for John Brown (defended by Usama Young),1.200,0.660
2,0:23,2,10,ARI 34,14,10,Andre Ellington left end for 3 yards (tackle by Tarell Brown),0.660,0.370
2,0:17,3,7,ARI 37,14,10,Carson Palmer pass incomplete deep right intended for John Brown (defended by Neiko Thorpe),0.370,-0.910
2,0:13,4,7,ARI 37,14,10,Drew Butler punts 40 yards,-0.910,-0.910
,,,,,,,"Replay Assistant challenged the kick touched ruling, and the play was upheld.",,
2,0:03,4,7,ARI 37,14,10,Timeout #1 by Arizona Cardinals,-0.910,-0.480
2,0:03,1,10,OAK 23,14,10,Derek Carr kneels for -1 yards,0.480,-0.200
Quarter,Time,Down,ToGo,Location,ARI,OAK,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 35,14,10,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.280
3,15:00,1,10,ARI 20,14,10,Stepfan Taylor right guard for 1 yard (tackle by Charles Woodson),0.280,-0.130
3,14:22,2,9,ARI 21,14,10,Stepfan Taylor left end for 10 yards (tackle by Usama Young),-0.130,1.000
3,13:57,1,10,ARI 31,14,10,Carson Palmer pass complete short right to Larry Fitzgerald for 3 yards (tackle by Carlos Rogers and Charles Woodson),1.000,0.870
3,13:18,2,7,ARI 34,14,10,"Carson Palmer pass incomplete short right intended for Stepfan Taylor (defended by Miles Burris). Penalty on Tarell Brown: Illegal Contact, 5 yards (no play)",0.870,1.530
3,13:14,1,10,ARI 39,14,10,Stepfan Taylor right tackle for 8 yards (tackle by LaMarr Woodley),1.530,2.070
3,12:36,2,2,ARI 47,14,10,Stepfan Taylor right end for -1 yards (tackle by Khalil Mack),2.070,1.220
3,11:55,3,3,ARI 46,14,10,Carson Palmer pass incomplete short right intended for Andre Ellington,1.220,-0.320
3,11:50,4,3,ARI 46,14,10,"Drew Butler punts 38 yards, out of bounds",-0.320,0.140
3,11:41,1,10,OAK 16,14,10,Darren McFadden left tackle for 15 yards (tackle by Rashad Johnson),-0.140,1.000
3,11:00,1,10,OAK 31,14,10,Derek Carr pass incomplete short left intended for Darren McFadden,1.000,0.460
3,10:54,2,10,OAK 31,14,10,Maurice Jones-Drew up the middle for no gain (tackle by Larry Foote),0.460,-0.230
3,10:09,3,10,OAK 31,14,10,Derek Carr pass complete short left to James Jones for 13 yards (tackle by Antonio Cromartie),-0.230,1.860
3,9:31,1,10,OAK 44,14,10,Derek Carr pass complete short left to Denarius Moore for 13 yards (tackle by Dan Williams),1.860,2.720
3,8:49,1,10,ARI 43,14,10,Darren McFadden left tackle for 1 yard (tackle by Larry Foote),2.720,2.310
3,8:10,2,9,ARI 42,14,10,Derek Carr pass complete short middle to Jamize Olawale for 7 yards (tackle by Kevin Minter),2.310,2.310
3,7:28,2,9,ARI 42,14,10,Timeout #1 by Oakland Raiders,2.310,2.540
3,7:28,3,2,ARI 35,14,10,Derek Carr pass incomplete short right intended for James Jones,2.540,0.990
3,7:22,4,2,ARI 35,14,13,Sebastian Janikowski 53 yard field goal good,0.990,3.000
3,7:22,,,OAK 35,14,13,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.280
3,7:17,1,10,ARI 20,14,13,Andre Ellington right tackle for 7 yards (tackle by Pat Sims),0.280,0.680
3,6:50,2,3,ARI 27,14,13,Andre Ellington left tackle for 5 yards (tackle by Khalil Mack),0.680,1.070
3,6:08,1,10,ARI 32,14,13,"Carson Palmer pass incomplete deep left intended for Andre Ellington. Penalty on Miles Burris: Defensive Pass Interference, 20 yards (no play)",1.070,2.390
3,6:03,1,10,OAK 48,14,13,Carson Palmer pass complete short left to Andre Ellington for 16 yards (tackle by Tarell Brown),2.390,3.450
3,5:38,1,10,OAK 32,14,13,Andre Ellington right tackle for 4 yards (tackle by Khalil Mack),3.450,3.440
3,4:57,2,6,OAK 28,14,13,Andre Ellington right tackle for 13 yards (tackle by Travis Carrie),3.440,4.580
3,4:15,1,10,OAK 15,14,13,Andre Ellington left guard for 5 yards (tackle by Charles Woodson),4.580,4.840
3,3:35,2,5,OAK 10,14,13,Andre Ellington right tackle for 6 yards (tackle by Miles Burris),4.840,6.280
3,3:00,1,4,OAK 4,20,13,"Stepfan Taylor left end for 4 yards, touchdown",6.280,7.000
3,3:00,,,OAK 2,21,13,Chandler Catanzaro kicks extra point good,0.000,0.000
3,3:00,,,ARI 35,21,13,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.280
3,2:55,1,10,OAK 20,21,13,Derek Carr pass complete short right to James Jones for -2 yards (tackle by Patrick Peterson and Sam Acho),0.280,-0.630
3,2:21,2,12,OAK 18,21,13,Derek Carr pass complete short middle to James Jones for 18 yards (tackle by Tony Jefferson),-0.630,1.330
3,1:43,1,10,OAK 36,21,13,Darren McFadden up the middle for 1 yard (tackle by Ed Stinson),1.330,0.930
3,1:05,2,9,OAK 37,21,13,"Derek Carr pass incomplete short right intended for Andre Holmes. Penalty on Patrick Peterson: Defensive Pass Interference, 13 yards (no play)",0.930,2.260
3,1:01,1,10,,21,13,Derek Carr pass incomplete short right intended for Brian Leonhardt,2.260,1.710
3,0:52,2,10,,21,13,Derek Carr pass complete short right to Darren McFadden for no gain,1.710,1.030
3,0:12,3,10,,21,13,Derek Carr pass incomplete short right intended for Darren McFadden,1.030,-0.060
3,0:06,4,10,,21,13,"Marquette King punts 37 yards, fair catch by Ted Ginn",-0.060,0.320
Quarter,Time,Down,ToGo,Location,ARI,OAK,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,ARI 13,21,13,Andre Ellington right end for 2 yards (tackle by Charles Woodson),-0.320,-0.570
4,14:24,2,8,ARI 15,21,13,Andre Ellington up the middle for 3 yards (tackle by Antonio Smith),-0.570,-0.830
4,13:42,3,5,ARI 18,21,13,"Carson Palmer pass incomplete short middle intended for John Carlson. Penalty on Sio Moore: Roughing the Passer, 15 yards (no play)",-0.830,1.140
4,13:38,1,10,ARI 33,21,13,Andre Ellington left guard for 1 yard (tackle by Charles Woodson),1.140,0.730
4,12:58,2,9,ARI 34,21,13,Carson Palmer pass incomplete short right intended for Larry Fitzgerald,0.730,0.040
4,12:54,3,9,ARI 34,21,13,Carson Palmer pass complete deep right to Ted Ginn for 17 yards,0.040,2.320
4,12:20,1,10,OAK 49,21,13,Carson Palmer pass complete short right to Michael Floyd for -1 yards (tackle by Carlos Rogers),2.320,1.650
4,11:43,2,11,,21,13,Stepfan Taylor left end for -5 yards (tackle by Benson Mayowa),1.650,0.300
4,11:05,3,16,ARI 45,21,13,"Carson Palmer pass complete short left to Robert Hughes for 10 yards (tackle by Travis Carrie). Penalty on Jared Veldheer: Offensive Holding, 10 yards (no play)",0.300,-1.020
4,10:42,3,26,ARI 35,21,13,Carson Palmer pass complete short middle to Stepfan Taylor for 17 yards (tackle by Miles Burris),-1.020,0.070
4,10:08,4,9,OAK 48,21,13,"Drew Butler punts 36 yards, returned by Denarius Moore for 3 yards (tackle by Justin Bethel)",0.070,0.220
4,9:59,1,10,OAK 15,21,13,"Derek Carr pass complete short left to Mychal Rivera for 11 yards (tackle by Sam Acho). Penalty on James Jones: Illegal Motion, 5 yards (no play)",-0.220,-0.570
4,9:31,1,15,OAK 10,21,13,Derek Carr pass complete short left to Andre Holmes for 18 yards (tackle by Antonio Cromartie),-0.570,0.810
4,9:02,1,10,OAK 28,21,13,Maurice Jones-Drew right tackle for 3 yards (tackle by Alex Okafor),0.810,0.670
4,8:22,2,7,OAK 31,21,13,Derek Carr pass incomplete short middle intended for Kenbrell Thompkins,0.670,-0.030
4,8:14,3,7,OAK 31,21,13,Derek Carr pass complete short left to Andre Holmes for 3 yards (tackle by Tyrann Mathieu),-0.030,-1.110
4,7:34,4,4,OAK 34,21,13,"Marquette King punts 46 yards, returned by Ted Ginn for 7 yards (tackle by Brian Leonhardt)",-1.110,-0.740
4,7:22,1,10,ARI 27,21,13,Andre Ellington left end for 1 yard (tackle by Khalil Mack),0.740,0.330
4,6:42,2,9,ARI 28,21,13,Carson Palmer pass complete short left to John Carlson for 11 yards (tackle by Brandian Ross),0.330,1.530
4,6:01,1,10,ARI 39,21,13,Andre Ellington right tackle for 5 yards (tackle by Justin Ellis),1.530,1.660
4,5:24,2,5,ARI 44,21,13,"Carson Palmer pass complete short middle to John Carlson for 1 yard (tackle by Khalil Mack and Sio Moore). Penalty on Bobby Massie: Ineligible Downfield Pass, 5 yards (no play)",1.660,0.990
4,4:49,2,10,ARI 39,21,13,"Penalty on Carson Palmer: Delay of Game, 5 yards (no play)",0.990,0.310
4,4:48,2,15,ARI 34,21,13,Stepfan Taylor right end for 7 yards (tackle by Sio Moore),0.310,0.560
4,4:02,3,8,ARI 41,21,13,Carson Palmer pass complete deep middle to John Brown for 22 yards (tackle by Brandian Ross),0.560,3.120
4,3:18,1,10,OAK 37,21,13,Stepfan Taylor left guard for 3 yards (tackle by Khalil Mack),3.120,3.120
4,3:08,1,10,OAK 37,21,13,Timeout #2 by Oakland Raiders,3.120,2.980
4,3:08,2,7,OAK 34,21,13,Stepfan Taylor left tackle for -1 yards (tackle by Khalil Mack),2.980,2.980
4,3:03,2,7,OAK 34,21,13,Timeout #3 by Oakland Raiders,2.980,2.150
4,3:03,3,8,OAK 35,21,13,Carson Palmer pass complete short right to Andre Ellington for 10 yards (tackle by Travis Carrie),2.150,2.150
4,2:18,3,8,OAK 35,21,13,Timeout #1 by Arizona Cardinals,2.150,3.910
4,2:18,1,10,OAK 25,21,13,Andre Ellington left guard for 3 yards (tackle by Pat Sims),3.910,3.770
4,2:00,2,7,OAK 22,21,13,Andre Ellington left end for -1 yards (tackle by C.J. Wilson),3.770,2.940
4,1:17,3,8,OAK 23,21,13,Andre Ellington right tackle for no gain (tackle by Khalil Mack),2.940,2.940
4,0:33,3,8,OAK 23,21,13,Timeout #2 by Arizona Cardinals,2.940,1.930
4,0:33,4,8,OAK 23,24,13,Chandler Catanzaro 41 yard field goal good,1.930,3.000
4,0:33,,,ARI 35,24,13,"Chandler Catanzaro kicks off 63 yards, returned by Travis Carrie for 18 yards (tackle by Lorenzo Alexander). Penalty on Latavius Murray: Offensive Holding, 10 yards",0.000,0.380
4,0:23,1,10,OAK 10,24,13,Derek Carr pass complete short middle to Darren McFadden for 2 yards (tackle by Deone Bucannon),-0.380,-0.630
4,0:08,2,8,OAK 12,24,13,Derek Carr pass complete short right to Andre Holmes for 13 yards,-0.630,0.610
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
