Quarter,Time,Tm,Detail,ARI,OAK
1.0,1:47,Cardinals,Stepfan Taylor 2 yard pass from Carson Palmer (Chandler Catanzaro kick),7,0
2.0,5:37,Cardinals,Michael Floyd 33 yard pass from Carson Palmer (Chandler Catanzaro kick),14,0
,1:56,Raiders,Darren McFadden 1 yard rush (Sebastian Janikowski kick),14,7
,0:45,Raiders,Sebastian Janikowski 29 yard field goal,14,10
3.0,7:17,Raiders,Sebastian Janikowski 53 yard field goal,14,13
,2:55,Cardinals,Stepfan Taylor 4 yard rush (Chandler Catanzaro kick),21,13
4.0,0:29,Cardinals,Chandler Catanzaro 41 yard field goal,24,13
