Unnamed: 0,ARI,OAK
First Downs,25,13
Rush-Yds-TDs,37-123-1,19-56-1
Cmp-Att-Yd-TD-INT,22-31-253-2-1,16-28-173-0-0
Sacked-Yards,1-11,1-9
Net Pass Yards,242,164
Total Yards,365,220
Fumbles-Lost,1-0,0-0
Turnovers,1,0
Penalties-Yards,6-43,8-74
Third Down Conv.,9-15,4-12
Fourth Down Conv.,0-1,0-0
Time of Possession,36:57,23:03
