Quarter,Time,Tm,Detail,NWE,NYJ
1,3:19,Jets,Randy Bullock 30 yard field goal,0,3
2,8:46,Patriots,Stephen Gostkowski 35 yard field goal,3,3
,1:57,Jets,Brandon Marshall 2 yard pass from Ryan Fitzpatrick (Randy Bullock kick),3,10
3,9:13,Jets,Brandon Marshall 33 yard pass from Ryan Fitzpatrick (Randy Bullock kick),3,17
,4:54,Patriots,Stephen Gostkowski 44 yard field goal,6,17
,3:21,Patriots,Jamie Collins 14 yard defensive fumble return (Stephen Gostkowski kick),13,17
4,13:28,Jets,Randy Bullock 49 yard field goal,13,20
,1:55,Patriots,James White 9 yard pass from Tom Brady (Stephen Gostkowski kick),20,20
OT,12:23,Jets,Eric Decker 6 yard pass from Ryan Fitzpatrick,20,26
