Unnamed: 0,SEA,NWE
First Downs,23,20
Rush-Yds-TDs,21-102-1,33-138-2
Cmp-Att-Yd-TD-INT,27-50-349-0-2,19-30-231-1-1
Sacked-Yards,3-8,1-7
Net Pass Yards,341,224
Total Yards,443,362
Fumbles-Lost,1-0,1-1
Turnovers,2,2
Penalties-Yards,6-50,6-46
Third Down Conv.,8-17,7-14
Fourth Down Conv.,0-0,0-0
Time of Possession,28:23,31:37
