Unnamed: 0,TEN,PIT
First Downs,17,25
Rush-Yds-TDs,21-52-1,21-65-0
Cmp-Att-Yd-TD-INT,22-34-306-1-4,30-45-299-4-0
Sacked-Yards,5-42,3-15
Net Pass Yards,264,284
Total Yards,316,349
Fumbles-Lost,0-0,1-0
Turnovers,4,0
Penalties-Yards,9-65,7-61
Third Down Conv.,5-13,4-12
Fourth Down Conv.,1-2,0-1
Time of Possession,28:20,31:40
