Unnamed: 0,DET,MIA
First Downs,14,28
Rush-Yds-TDs,21-67-1,37-154-2
Cmp-Att-Yd-TD-INT,14-26-222-2-0,29-44-278-1-2
Sacked-Yards,2-14,2-7
Net Pass Yards,208,271
Total Yards,275,425
Fumbles-Lost,0-0,5-1
Turnovers,0,3
Penalties-Yards,6-53,8-63
Third Down Conv.,4-12,8-17
Fourth Down Conv.,0-0,1-1
Time of Possession,22:45,37:15
