Quarter,Time,Tm,Detail,DET,MIA
1.0,10:56,Lions,Dave Rayner 39 yard field goal,3,0
,0:30,Dolphins,Dan Carpenter 40 yard field goal,3,3
2.0,12:17,Lions,Brandon Pettigrew 20 yard pass from Shaun Hill (Dave Rayner kick),10,3
,6:13,Dolphins,Lousaka Polite 4 yard rush (Dan Carpenter kick),10,10
,0:30,Dolphins,Davone Bess 13 yard pass from Chad Henne (Dan Carpenter kick),10,17
3.0,5:49,Lions,Maurice Morris 5 yard rush (Dave Rayner kick),17,17
,0:05,Dolphins,Ronnie Brown 1 yard rush (Dan Carpenter kick),17,24
4.0,9:44,Dolphins,Dan Carpenter 28 yard field goal,17,27
,4:37,Lions,Jahvid Best 53 yard pass from Shaun Hill (Dave Rayner kick),24,27
,2:44,Lions,Dave Rayner 47 yard field goal,27,27
,2:11,Lions,DeAndre Levy 30 yard interception return (Dave Rayner kick),34,27
