Quarter,Time,Down,ToGo,Location,DET,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Dolphins won the coin toss and deferred, Lions to receive the opening kickoff.",,
1,15:00,,,MIA 30,0,0,"Dan Carpenter kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,DET 20,0,0,Nate Burleson left end for 12 yards (tackle by Yeremiah Bell),0.280,1.070
1,14:26,1,10,DET 32,0,0,Shaun Hill pass complete short middle to Maurice Morris for 6 yards (tackle by Channing Crowder),1.070,1.340
1,13:56,2,4,DET 38,0,0,Maurice Morris left tackle for 1 yard (tackle by Paul Soliai),1.340,0.760
1,13:19,3,3,DET 39,0,0,Shaun Hill pass incomplete short right intended for Calvin Johnson (defended by Vontae Davis),0.760,-0.780
1,13:14,4,3,DET 39,0,0,"Nick Harris punts 52 yards, returned by Davone Bess for 7 yards (tackle by Ashlee Palmer). Davone Bess fumbles, recovered by Landon Johnson at MIA-19",-0.780,4.310
1,13:00,1,10,MIA 19,0,0,Maurice Morris right guard for -2 yards (tackle by Paul Soliai),4.310,3.490
1,12:23,2,12,MIA 21,0,0,"Penalty on Cameron Wake: Neutral Zone Infraction, 5 yards (no play)",3.490,4.180
1,12:04,2,7,MIA 16,0,0,Maurice Morris right tackle for 1 yard (tackle by Channing Crowder),4.180,3.580
1,11:24,3,6,MIA 15,0,0,Shaun Hill sacked by Randy Starks for -6 yards,3.580,2.060
1,11:02,4,12,MIA 21,3,0,Dave Rayner 39 yard field goal good,2.060,3.000
1,,,,DET 30,3,0,"Dave Rayner kicks off 47 yards, returned by Nolan Carroll for 12 yards (tackle by John Wendling)",0.000,1.270
1,10:52,1,10,MIA 35,3,0,Chad Henne pass complete short left to Brandon Marshall for 9 yards (tackle by DeAndre Levy),1.270,1.940
1,10:26,2,1,MIA 44,3,0,Chad Henne pass incomplete deep left intended for Brandon Marshall,1.940,1.220
1,10:20,3,1,MIA 44,3,0,Lousaka Polite left guard for 4 yards (tackle by Ndamukong Suh),1.220,2.130
1,9:45,1,10,MIA 48,3,0,Chad Henne pass complete short left to Davone Bess for 8 yards,2.130,2.660
1,9:30,2,2,DET 44,3,0,Chad Henne pass complete short right to Ronnie Brown for 4 yards (tackle by Landon Johnson),2.660,2.920
1,9:11,1,10,DET 40,3,0,Ronnie Brown middle for 2 yards (tackle by Cliff Avril),2.920,2.640
1,8:43,2,8,DET 38,3,0,Chad Henne pass incomplete short right intended for Patrick Cobbs,2.640,1.950
1,8:38,3,8,DET 38,3,0,Chad Henne pass complete short right to Ronnie Brown for 7 yards (tackle by Landon Johnson),1.950,1.410
1,7:58,4,1,DET 31,3,0,Lousaka Polite right guard for 2 yards (tackle by Corey Williams),1.410,3.640
1,7:19,1,10,DET 29,3,0,Chad Henne sacked by Corey Williams for -4 yards,3.640,2.560
1,6:49,2,14,DET 33,3,0,Patrick Cobbs middle for 4 yards (tackle by Sammie Lee Hill),2.560,2.410
1,6:06,3,10,DET 29,3,0,"Chad Henne for no gain. Chad Henne fumbles, recovered by Chad Henne at MIA-DET",2.410,0.330
1,5:34,4,25,DET 44,3,0,"Brandon Fields punts 44 yards, touchback",0.330,-0.280
1,5:24,1,10,DET 20,3,0,Maurice Morris middle for 1 yard (tackle by Tim Dobbins),0.280,-0.130
1,4:51,2,9,DET 21,3,0,Maurice Morris left tackle for no gain (tackle by Tim Dobbins),-0.130,-0.820
1,4:13,3,9,DET 21,3,0,Shaun Hill pass complete short left to Brandon Pettigrew for -2 yards (tackle by Yeremiah Bell),-0.820,-2.140
1,3:37,4,11,DET 19,3,0,Nick Harris punts 33 yards. Penalty on Tyrone Culver: Illegal Formation (Declined),-2.140,-2.130
1,3:27,1,10,MIA 48,3,0,Ricky Williams left end for 2 yards (tackle by Lawrence Jackson),2.130,1.850
1,3:03,2,8,,3,0,Ricky Williams right tackle for 2 yards (tackle by Bobby Carpenter),1.850,1.420
1,2:26,3,6,DET 48,3,0,Chad Henne pass complete deep middle to Anthony Fasano for 20 yards (tackle by Amari Spievey),1.420,3.710
1,1:51,1,10,DET 28,3,0,Ricky Williams middle for 4 yards (tackle by Bobby Carpenter),3.710,3.710
1,1:20,2,6,DET 24,3,0,Ricky Williams left tackle for 2 yards (tackle by Turk McBride and Sammie Lee Hill),3.710,3.270
1,0:39,3,4,DET 22,3,0,Chad Henne pass incomplete short left intended for Patrick Cobbs,3.270,2.070
1,0:35,4,4,DET 22,3,3,Dan Carpenter 40 yard field goal good,2.070,3.000
1,,,,MIA 30,3,3,"Dan Carpenter kicks off 70 yards, touchback",0.000,0.280
1,0:30,1,10,DET 20,3,3,Jahvid Best left end for 12 yards (tackle by Vontae Davis),0.280,1.070
Quarter,Time,Down,ToGo,Location,DET,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DET 32,3,3,Shaun Hill pass complete short right to Brandon Pettigrew for 33 yards (tackle by Yeremiah Bell),1.070,3.250
2,14:23,1,10,MIA 35,3,3,Jahvid Best right guard for -1 yards (tackle by Koa Misi),3.250,2.570
2,13:47,2,11,MIA 36,3,3,Shaun Hill pass complete short right to Calvin Johnson for 6 yards (tackle by Sean Smith),2.570,2.680
2,13:02,3,5,MIA 30,3,3,Shaun Hill left tackle for 10 yards,2.680,4.240
2,12:22,1,10,MIA 20,9,3,"Shaun Hill pass complete deep middle to Brandon Pettigrew for 20 yards, touchdown",4.240,7.000
2,,,,MIA 2,10,3,Dave Rayner kicks extra point good,0.000,0.000
2,,,,DET 30,10,3,"Dave Rayner kicks off 75 yards, touchback",0.000,0.280
2,12:17,1,10,MIA 20,10,3,Ronnie Brown middle for 2 yards (tackle by Cliff Avril),0.280,0.000
2,11:37,2,8,MIA 22,10,3,Chad Henne pass complete short left to Brandon Marshall for 14 yards (tackle by Nathan Vasher),0.000,1.330
2,11:09,1,10,MIA 36,10,3,Chad Henne pass complete short right to Davone Bess for 5 yards,1.330,1.470
2,10:45,2,5,MIA 41,10,3,Ronnie Brown right tackle for 15 yards (tackle by C.C. Brown),1.470,2.650
2,10:07,1,10,DET 44,10,3,Ronnie Brown middle for 3 yards (tackle by Lawrence Jackson),2.650,2.520
2,9:31,2,7,DET 41,10,3,Chad Henne pass complete short right to Brandon Marshall for 13 yards (tackle by Chris Houston),2.520,3.710
2,8:53,1,10,DET 28,10,3,Ronnie Brown left tackle for 2 yards (tackle by Lawrence Jackson),3.710,3.440
2,8:18,2,8,DET 26,10,3,Chad Henne pass complete short right to Brandon Marshall for 9 yards (tackle by Chris Houston),3.440,4.440
2,7:39,1,10,DET 17,10,3,Chad Henne pass complete short left to Anthony Fasano for 11 yards (tackle by Nathan Vasher),4.440,5.830
2,7:14,1,6,DET 6,10,3,"Penalty on Pat McQuistan: False Start, 5 yards (no play)",5.830,4.770
2,6:58,1,11,DET 11,10,3,Ricky Williams left end for 7 yards (tackle by C.C. Brown),4.770,5.340
2,6:19,2,4,DET 4,10,9,"Lousaka Polite middle for 4 yards, touchdown",5.340,7.000
2,,,,DET 2,10,10,Dan Carpenter kicks extra point good,0.000,0.000
2,,,,MIA 30,10,10,"Dan Carpenter kicks off 60 yards, returned by Stefan Logan for 13 yards (tackle by Nolan Carroll). Penalty on Randy Phillips: Offensive Holding, 10 yards",0.000,-0.320
2,6:08,1,10,DET 13,10,10,Jahvid Best right end for -1 yards (tackle by Tim Dobbins),-0.320,-0.850
2,5:27,2,11,DET 12,10,10,Shaun Hill pass incomplete short right intended for Calvin Johnson,-0.850,-1.540
2,5:21,3,11,DET 12,10,10,Shaun Hill sacked by Chris Clemons for -8 yards,-1.540,-2.490
2,4:48,4,19,DET 4,10,10,"Nick Harris punts 53 yards, returned by Davone Bess for 16 yards (tackle by Bobby Carpenter)",-2.490,-2.850
2,4:37,1,10,DET 41,10,10,Chad Henne pass incomplete short left intended for Brandon Marshall,2.850,2.310
2,4:32,2,10,DET 41,10,10,Chad Henne pass complete short middle to Ricky Williams for 8 yards (tackle by Julian Peterson),2.310,2.680
2,3:58,3,2,DET 33,10,10,Ricky Williams left guard for 3 yards (tackle by Lawrence Jackson),2.680,3.580
