Quarter,Time,Tm,Detail,HOU,IND
1.0,6:59,Colts,Jacob Tamme 2 yard pass from Peyton Manning (Adam Vinatieri kick),0,7
2.0,14:44,Colts,Kelvin Hayden 25 yard interception return (Adam Vinatieri kick),0,14
,12:00,Texans,Neil Rackers 53 yard field goal,3,14
,0:53,Colts,Adam Vinatieri 48 yard field goal,3,17
3.0,11:30,Colts,Reggie Wayne 15 yard pass from Peyton Manning (Adam Vinatieri kick),3,24
,7:40,Texans,Andre Johnson 28 yard pass from Matt Schaub (Neil Rackers kick),10,24
,1:18,Colts,Adam Vinatieri 23 yard field goal,10,27
4.0,12:22,Texans,Arian Foster 6 yard rush (Neil Rackers kick),17,27
,7:23,Colts,Adam Vinatieri 36 yard field goal,17,30
