Quarter,Time,Down,ToGo,Location,HOU,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss, Texans to receive the opening kickoff.",,
1,15:00,,,IND 30,0,0,"Jeremy Kapinos kicks off 58 yards, returned by Jacoby Jones for 20 yards (tackle by Chip Vaughn)",0.000,1.070
1,14:56,1,10,HOU 32,0,0,Matt Schaub pass complete short left to Andre Johnson for 11 yards (tackle by Justin Tryon),1.070,1.800
1,14:25,1,10,HOU 43,0,0,Matt Schaub pass incomplete short left intended for Joel Dreessen,1.800,1.250
1,14:21,2,10,HOU 43,0,0,Matt Schaub pass incomplete short right intended for Andre Johnson,1.250,0.560
1,14:12,,,,0,0,Timeout #1 by Houston Texans,0.000,0.560
1,14:12,3,10,HOU 43,0,0,Matt Schaub sacked by Dwight Freeney for -6 yards,0.560,-0.910
1,13:45,4,16,HOU 37,0,0,"Matt Turk punts 38 yards, returned by Blair White for 15 yards (tackle by Stanford Keglar)",-0.910,-1.600
1,13:35,1,10,IND 40,0,0,Peyton Manning pass incomplete short left intended for Jacob Tamme,1.600,1.050
1,13:30,2,10,IND 40,0,0,Peyton Manning pass incomplete short left intended for Brody Eldridge,1.050,0.370
1,13:26,3,10,IND 40,0,0,Peyton Manning pass incomplete short left intended for Reggie Wayne,0.370,-0.720
1,13:21,4,10,IND 40,0,0,"Jeremy Kapinos punts 37 yards, returned by Jacoby Jones for 9 yards (tackle by Philip Wheeler)",-0.720,-1.070
1,13:10,1,10,HOU 32,0,0,Arian Foster right end for 5 yards (tackle by Clint Session),1.070,1.200
1,12:35,2,5,HOU 37,0,0,Arian Foster left end for 9 yards (tackle by Aaron Francisco and Pat Angerer),1.200,1.990
1,12:00,1,10,HOU 46,0,0,Arian Foster right tackle for 4 yards (tackle by Gary Brackett),1.990,1.990
1,11:21,2,6,,0,0,Matt Schaub pass incomplete short middle intended for Derrick Ward,1.990,1.290
1,11:16,3,6,,0,0,Matt Schaub pass incomplete short left intended for Jacoby Jones,1.290,-0.060
1,11:13,4,6,,0,0,"Matt Turk punts 28 yards, fair catch by Blair White",-0.060,-0.410
1,11:03,1,10,IND 22,0,0,Mike Hart for 35 yards (tackle by Eugene Wilson),0.410,2.720
1,10:30,1,10,HOU 43,0,0,Mike Hart middle for -1 yards (tackle by Antonio Smith and Brian Cushing),2.720,2.040
1,9:50,2,11,HOU 44,0,0,Peyton Manning pass complete short middle to Reggie Wayne for 11 yards (tackle by Zach Diles and Kareem Jackson). Penalty on Brice McCain: Defensive Holding (Declined),2.040,3.380
1,9:20,1,10,HOU 33,0,0,Peyton Manning pass complete deep left to Jacob Tamme for 26 yards (tackle by Glover Quin),3.380,5.600
1,8:32,1,7,HOU 7,0,0,Mike Hart left tackle for -1 yards (tackle by Zach Diles),5.600,4.570
1,7:48,2,8,HOU 8,0,0,Peyton Manning pass complete short left to Mike Hart for 6 yards (tackle by Kareem Jackson),4.570,4.950
1,7:05,3,2,HOU 2,0,6,"Peyton Manning pass complete short middle to Jacob Tamme for 2 yards, touchdown",4.950,7.000
1,,,,HOU 2,0,7,Adam Vinatieri kicks extra point good,0.000,0.000
1,,,,IND 30,0,7,"Jeremy Kapinos kicks off 62 yards, returned by Jacoby Jones for 25 yards (tackle by Blair White)",0.000,1.140
1,6:52,1,10,HOU 33,0,7,Arian Foster left tackle for 8 yards (tackle by Antoine Bethea and Justin Tryon),1.140,1.670
1,6:17,2,2,HOU 41,0,7,Arian Foster right guard for 4 yards (tackle by Gary Brackett),1.670,1.930
1,5:34,1,10,HOU 45,0,7,Arian Foster right tackle for 2 yards (tackle by Robert Mathis),1.930,1.650
1,4:56,2,8,HOU 47,0,7,Matt Schaub pass complete short right to Derrick Ward for 6 yards (tackle by Kelvin Hayden),1.650,1.750
1,4:19,3,2,IND 47,0,7,Matt Schaub pass incomplete short left intended for Kevin Walter,1.750,0.130
1,4:15,,,,0,7,Timeout #2 by Houston Texans,0.000,0.130
1,4:15,4,2,IND 47,0,7,Matt Schaub pass incomplete short left intended for Kevin Walter (defended by Justin Tryon),0.130,-2.060
1,4:11,1,10,IND 47,0,7,Donald Brown right end for 1 yard (tackle by Amobi Okoye),2.060,1.650
1,3:27,2,9,IND 48,0,7,Donald Brown middle for 3 yards (tackle by Glover Quin and Shaun Cody),1.650,1.360
1,2:45,3,6,HOU 49,0,7,Peyton Manning right tackle for 6 yards (tackle by Bernard Pollard),1.360,2.720
,,,,,,,"IND challenged the first down ruling, and the original play was overturned.",,
1,1:51,1,10,HOU 43,0,7,Donald Brown right end for -1 yards (tackle by Shaun Cody and Amobi Okoye),2.720,2.040
1,1:11,2,11,HOU 44,0,7,Peyton Manning pass complete short left to Donald Brown for 3 yards (tackle by Kareem Jackson),2.040,1.750
1,0:29,3,8,HOU 41,0,7,Peyton Manning sacked by Mark Anderson for -9 yards,1.750,-0.060
Quarter,Time,Down,ToGo,Location,HOU,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,17,,0,7,"Jeremy Kapinos punts 50 yards, touchback",-0.060,-0.280
2,14:51,1,10,HOU 20,0,13,"Matt Schaub pass incomplete short right intended for Kevin Walter is intercepted by Kelvin Hayden at HOU-25 and returned for 25 yards, touchdown",0.280,-7.000
2,,,,HOU 2,0,14,Adam Vinatieri kicks extra point good,0.000,0.000
2,,,,IND 30,0,14,"Jeremy Kapinos kicks off 66 yards, returned by Jacoby Jones for 30 yards (tackle by Tyjuan Hagler)",0.000,1.200
2,14:37,1,10,HOU 34,0,14,Arian Foster left tackle for 33 yards (tackle by Pat Angerer),1.200,3.380
2,14:07,1,10,IND 33,0,14,Derrick Ward right end for no gain (tackle by Gary Brackett and Aaron Francisco),3.380,2.840
2,13:24,2,10,IND 33,0,14,Matt Schaub pass complete short left to Jacoby Jones for 5 yards (tackle by Justin Tryon),2.840,2.810
2,12:45,3,5,IND 28,0,14,Matt Schaub sacked by Clint Session for -7 yards,2.810,0.970
2,12:05,,,,0,14,Timeout #1 by Indianapolis Colts,0.000,0.970
2,12:05,4,12,IND 35,3,14,Neil Rackers 53 yard field goal good,0.970,3.000
2,,,,HOU 30,3,14,"Neil Rackers kicks off 69 yards, returned by Justin Tryon for 24 yards (tackle by Sherrick McManis)",0.000,0.610
