Unnamed: 0,HOU,IND
First Downs,19,24
Rush-Yds-TDs,18-108-1,28-107-0
Cmp-Att-Yd-TD-INT,22-38-201-1-1,26-45-268-2-0
Sacked-Yards,3-18,1-9
Net Pass Yards,183,259
Total Yards,291,366
Fumbles-Lost,2-1,0-0
Turnovers,2,0
Penalties-Yards,5-30,9-69
Third Down Conv.,3-11,7-15
Fourth Down Conv.,0-1,1-1
Time of Possession,23:35,36:25
