Unnamed: 0,PHI,ARI
First Downs,24,23
Rush-Yds-TDs,33-139-2,26-124-1
Cmp-Att-Yd-TD-INT,26-36-239-0-0,28-42-250-1-1
Sacked-Yards,2-21,1-11
Net Pass Yards,218,239
Total Yards,357,363
Fumbles-Lost,1-0,0-0
Turnovers,0,1
Penalties-Yards,3-30,2-15
Third Down Conv.,6-13,8-14
Fourth Down Conv.,1-1,1-1
Time of Possession,34:39,25:21
