Unnamed: 0,JAX,KAN
First Downs,17,26
Rush-Yds-TDs,16-75-0,27-155-0
Cmp-Att-Yd-TD-INT,29-40-259-2-0,26-35-331-4-1
Sacked-Yards,5-19,0-0
Net Pass Yards,240,331
Total Yards,315,486
Fumbles-Lost,0-0,3-2
Turnovers,0,3
Penalties-Yards,5-30,0-0
Third Down Conv.,4-14,7-10
Fourth Down Conv.,2-2,1-1
Time of Possession,31:39,28:21
