Unnamed: 0,SFO,TEN
First Downs,15,15
Rush-Yds-TDs,22-74-1,27-118-0
Cmp-Att-Yd-TD-INT,23-43-192-1-2,23-41-343-3-1
Sacked-Yards,2-5,0-0
Net Pass Yards,187,343
Total Yards,261,461
Fumbles-Lost,2-2,1-0
Turnovers,4,1
Penalties-Yards,4-35,10-70
Third Down Conv.,3-15,3-16
Fourth Down Conv.,3-3,2-3
Time of Possession,28:16,31:44
