Quarter,Time,Tm,Detail,SFO,TEN
1.0,0:04,Titans,Rob Bironas 35 yard field goal,0,3
2.0,9:20,49ers,Kevan Barlow 1 yard rush (Jose Cortez kick),7,3
,4:03,Titans,Rob Bironas 41 yard field goal,7,6
,2:00,Titans,Rob Bironas 21 yard field goal,7,9
,0:27,49ers,Shawntae Spencer 61 yard interception return (Jose Cortez kick),14,9
3.0,13:18,Titans,Chris Brown 41 yard pass from Steve McNair (Rob Bironas kick),14,16
,11:59,Titans,Roydell Williams 50 yard pass from Steve McNair (Rob Bironas kick),14,23
,4:54,Titans,Erron Kinney 4 yard pass from Steve McNair (Rob Bironas kick),14,30
4.0,3:35,Titans,Rob Bironas 22 yard field goal,14,33
,1:15,49ers,Arnaz Battle 17 yard pass from Ken Dorsey (Terry Jackson pass from Ken Dorsey),22,33
