Unnamed: 0,ARI,NYG
First Downs,20,14
Rush-Yds-TDs,21-31-0,25-121-2
Cmp-Att-Yd-TD-INT,32-56-316-1-2,10-23-172-2-2
Sacked-Yards,3-29,3-18
Net Pass Yards,287,154
Total Yards,318,275
Fumbles-Lost,0-0,0-0
Turnovers,2,2
Penalties-Yards,10-53,7-52
Third Down Conv.,8-19,4-11
Fourth Down Conv.,0-1,0-0
Time of Possession,35:45,24:15
