Quarter,Time,Tm,Detail,GNB,MIN
1.0,4:56,Packers,Greg Jennings 16 yard pass from Brett Favre (Mason Crosby kick),7,0
2.0,5:19,Vikings,Ryan Longwell 44 yard field goal,7,3
,1:56,Vikings,Ryan Longwell 35 yard field goal,7,6
,0:02,Packers,Mason Crosby 28 yard field goal,10,6
3.0,6:04,Packers,Mason Crosby 44 yard field goal,13,6
,3:18,Vikings,Ryan Longwell 48 yard field goal,13,9
4.0,12:44,Packers,Mason Crosby 33 yard field goal,16,9
,5:46,Packers,James Jones 33 yard pass from Brett Favre (Mason Crosby kick),23,9
,1:55,Vikings,Sidney Rice 15 yard pass from Kelly Holcomb (Ryan Longwell kick),23,16
