Unnamed: 0,GNB,MIN
First Downs,20,20
Rush-Yds-TDs,20-46-0,21-155-0
Cmp-Att-Yd-TD-INT,32-45-344-2-0,21-39-258-1-1
Sacked-Yards,1-6,5-31
Net Pass Yards,338,227
Total Yards,384,382
Fumbles-Lost,4-2,2-1
Turnovers,2,2
Penalties-Yards,6-40,7-40
Third Down Conv.,7-14,5-15
Fourth Down Conv.,1-1,1-1
Time of Possession,30:58,29:02
