Quarter,Time,Tm,Detail,KAN,HOU
1.0,8:01,Texans,DeAndre Hopkins 27 yard pass from Brock Osweiler (Nick Novak kick),0,7
2.0,14:55,Chiefs,Cairo Santos 53 yard field goal,3,7
,4:16,Texans,Nick Novak 32 yard field goal,3,10
,1:21,Texans,Nick Novak 24 yard field goal,3,13
4.0,14:56,Chiefs,Cairo Santos 43 yard field goal,6,13
,9:34,Texans,Nick Novak 31 yard field goal,6,16
,7:34,Chiefs,Cairo Santos 35 yard field goal,9,16
,2:56,Texans,Nick Novak 43 yard field goal,9,19
,0:49,Chiefs,Cairo Santos 30 yard field goal,12,19
