#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,HOU 16,8,4:16,82,Interception
2,1,8:08,KAN 27,1,0:07,27,Touchdown
3,1,6:12,HOU 15,3,1:56,3,Punt
4,1,3:14,HOU 23,3,2:02,-5,Punt
5,2,14:55,HOU 15,3,1:03,5,Punt
6,2,10:59,HOU 17,14,6:43,69,Field Goal
7,2,1:40,KAN 14,4,0:19,8,Field Goal
8,2,0:13,KAN 39,3,0:13,0,Missed FG
9,3,12:45,HOU 6,6,4:00,26,Punt
10,3,6:54,HOU 46,3,1:34,-4,Punt
11,3,3:43,HOU 29,2,0:57,35,Interception
12,4,14:56,HOU 40,11,5:22,47,Field Goal
13,4,7:34,HOU 25,11,4:38,49,Field Goal
14,4,0:49,KAN 49,2,0:49,-3,End of Game
