Unnamed: 0,KAN,HOU
First Downs,14,15
Rush-Yds-TDs,19-119-0,34-97-0
Cmp-Att-Yd-TD-INT,20-37-186-0-0,19-33-268-1-2
Sacked-Yards,4-14,2-14
Net Pass Yards,172,254
Total Yards,291,351
Fumbles-Lost,3-3,0-0
Turnovers,3,2
Penalties-Yards,9-77,5-44
Third Down Conv.,3-14,4-15
Fourth Down Conv.,0-0,1-1
Time of Possession,26:01,33:59
