Unnamed: 0,WAS,NYG
First Downs,15,18
Rush-Yds-TDs,21-85-1,31-103-0
Cmp-Att-Yd-TD-INT,19-26-211-1-1,20-29-256-1-1
Sacked-Yards,3-24,1-8
Net Pass Yards,187,248
Total Yards,272,351
Fumbles-Lost,3-1,2-1
Turnovers,2,2
Penalties-Yards,4-32,4-30
Third Down Conv.,5-12,6-13
Fourth Down Conv.,1-1,0-1
Time of Possession,23:52,36:08
