Unnamed: 0,CHI,DET
First Downs,21,12
Rush-Yds-TDs,34-97-1,13-54-1
Cmp-Att-Yd-TD-INT,24-34-334-2-0,21-39-171-0-1
Sacked-Yards,1-6,4-40
Net Pass Yards,328,131
Total Yards,425,185
Fumbles-Lost,1-1,1-1
Turnovers,1,2
Penalties-Yards,6-45,6-41
Third Down Conv.,7-15,3-14
Fourth Down Conv.,0-1,0-2
Time of Possession,38:15,21:45
