Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Alvin Kamara,NOR,19,68,0,6,33,1.7,35,1.8,0,
Kendre Miller,NOR,2,-1,0,1,-3,-1.5,2,1.0,0,
Rashid Shaheed,NOR,2,18,0,1,12,6.0,6,3.0,1,2.0
Derek Carr,NOR,1,2,0,1,0,0.0,2,2.0,0,
Taysom Hill,NOR,1,2,0,,0,0.0,2,2.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Dameon Pierce,HOU,13,34,0,2,9,0.7,25,1.9,0,
Devin Singletary,HOU,12,58,0,3,32,2.7,26,2.2,0,
C.J. Stroud,HOU,3,2,0,0,1,0.3,1,0.3,0,
Xavier Hutchinson,HOU,2,15,0,1,10,5.0,5,2.5,0,
Mike Boone,HOU,1,11,0,1,8,8.0,3,3.0,0,
