Unnamed: 0,CIN,NYG
First Downs,12,23
Rush-Yds-TDs,23-78-1,27-122-0
Cmp-Att-Yd-TD-INT,16-29-204-1-1,28-44-240-3-2
Sacked-Yards,3-18,1-11
Net Pass Yards,186,229
Total Yards,264,351
Fumbles-Lost,0-0,1-0
Turnovers,1,2
Penalties-Yards,9-60,2-15
Third Down Conv.,2-11,6-14
Fourth Down Conv.,0-0,1-2
Time of Possession,28:37,31:23
