Quarter,Time,Tm,Detail,CIN,NYG
1.0,11:05,Giants,Jerell Adams 10 yard pass from Eli Manning (Robbie Gould kick),0,7
,8:58,Bengals,A.J. Green 13 yard pass from Andy Dalton (Mike Nugent kick),7,7
2.0,4:19,Bengals,Mike Nugent 25 yard field goal,10,7
,1:17,Giants,Odell Beckham Jr. 10 yard pass from Eli Manning (Robbie Gould kick),10,14
3.0,13:58,Bengals,Jeremy Hill 9 yard rush (Mike Nugent kick),17,14
,8:52,Bengals,Mike Nugent 38 yard field goal,20,14
4.0,14:05,Giants,Sterling Shepard 3 yard pass from Eli Manning (Robbie Gould kick),20,21
