Unnamed: 0,BAL,PIT
First Downs,22,14
Rush-Yds-TDs,27-70-1,27-84-2
Cmp-Att-Yd-TD-INT,24-37-256-1-1,12-21-141-0-1
Sacked-Yards,1-6,2-15
Net Pass Yards,250,126
Total Yards,320,210
Fumbles-Lost,2-1,1-0
Turnovers,2,1
Penalties-Yards,7-52,11-88
Third Down Conv.,4-11,4-11
Fourth Down Conv.,0-1,0-0
Time of Possession,30:31,29:29
