Unnamed: 0,IND,DET
First Downs,23,21
Rush-Yds-TDs,18-87-1,29-138-1
Cmp-Att-Yd-TD-INT,24-54-391-4-3,27-46-313-2-1
Sacked-Yards,2-19,0-0
Net Pass Yards,372,313
Total Yards,459,451
Fumbles-Lost,1-0,1-0
Turnovers,3,1
Penalties-Yards,4-36,8-61
Third Down Conv.,4-15,6-17
Fourth Down Conv.,2-2,0-0
Time of Possession,22:22,37:38
