Quarter,Time,Tm,Detail,IND,DET
1.0,8:49,Lions,Jason Hanson 48 yard field goal,0,3
,6:29,Colts,Donnie Avery 17 yard pass from Andrew Luck (Adam Vinatieri kick),7,3
,1:48,Lions,Brandon Pettigrew 16 yard pass from Matthew Stafford (Jason Hanson kick),7,10
2.0,11:27,Lions,Mikel Leshoure 6 yard rush (Jason Hanson kick),7,17
,9:47,Colts,Coby Fleener 26 yard pass from Andrew Luck (Adam Vinatieri kick),14,17
,7:17,Lions,Jason Hanson 33 yard field goal,14,20
,3:46,Lions,Jason Hanson 52 yard field goal,14,23
3.0,12:05,Colts,Vick Ballard 11 yard rush (Adam Vinatieri kick),21,23
,0:02,Lions,Calvin Johnson 46 yard pass from Matthew Stafford (Jason Hanson kick),21,30
4.0,8:41,Lions,Jason Hanson 31 yard field goal,21,33
,2:39,Colts,LaVon Brazill 42 yard pass from Andrew Luck (Adam Vinatieri kick),28,33
,0:00,Colts,Donnie Avery 14 yard pass from Andrew Luck (Adam Vinatieri kick),35,33
