Unnamed: 0,NYG,WAS
First Downs,28,25
Rush-Yds-TDs,26-206-1,26-80-2
Cmp-Att-Yd-TD-INT,28-42-352-5-0,29-38-302-3-0
Sacked-Yards,1-6,3-21
Net Pass Yards,346,281
Total Yards,552,361
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,4-33,6-51
Third Down Conv.,8-14,8-14
Fourth Down Conv.,0-0,0-0
Time of Possession,31:57,33:48
