Quarter,Time,Tm,Detail,NYG,WAS
1,12:21,Giants,Sterling Shepard 23 yard pass from Daniel Jones (Aldrick Rosas kick),7,0
,7:37,Redskins,Steven Sims 10 yard pass from Dwayne Haskins (Dustin Hopkins kick),7,7
,6:46,Giants,Saquon Barkley 67 yard rush (Aldrick Rosas kick),14,7
2,14:56,Redskins,Hale Hentges 6 yard pass from Dwayne Haskins (Dustin Hopkins kick),14,14
,9:16,Giants,Saquon Barkley 33 yard pass from Daniel Jones (Aldrick Rosas kick),21,14
,0:38,Giants,Cody Latimer 10 yard pass from Daniel Jones (Aldrick Rosas kick),28,14
3,6:38,Redskins,Steven Sims 7 yard pass from Case Keenum (Dustin Hopkins kick),28,21
,3:40,Giants,Kaden Smith 9 yard pass from Daniel Jones (Aldrick Rosas kick),35,21
4,14:30,Redskins,Adrian Peterson 1 yard rush (Dustin Hopkins kick),35,28
,0:29,Redskins,Case Keenum 1 yard rush (Dustin Hopkins kick),35,35
OT,4:15,Giants,Kaden Smith 3 yard pass from Daniel Jones,41,35
