Quarter,Time,Tm,Detail,LAR,DAL
1.0,9:44,Cowboys,Jake Ferguson 18 yard pass from Dak Prescott (Brandon Aubrey kick),0,7
,5:22,Rams,Lucas Havrisik 33 yard field goal,3,7
,0:43,Cowboys,Brandon Aubrey 58 yard field goal,3,10
,0:36,Cowboys,DaRon Bland 30 yard interception return (Brandon Aubrey kick),3,17
2.0,13:39,Cowboys,"Safety, blocked punt out of bounds in end zone",3,19
,12:45,Cowboys,CeeDee Lamb 10 yard pass from Dak Prescott (Brandon Aubrey kick),3,26
,2:27,Cowboys,CeeDee Lamb 22 yard pass from Dak Prescott (Brandon Aubrey kick),3,33
,0:04,Rams,Royce Freeman 1 yard rush (pass failed),9,33
3.0,11:29,Rams,Ben Skowronek 20 yard pass from Matthew Stafford (Matthew Stafford pass from Tutu Atwell),17,33
,1:32,Cowboys,Brandon Aubrey 27 yard field goal,17,36
4.0,12:19,Cowboys,Brandin Cooks 25 yard pass from Dak Prescott (Brandon Aubrey kick),17,43
,5:31,Rams,Lucas Havrisik 47 yard field goal,20,43
