Unnamed: 0,LAR,DAL
First Downs,15,24
Rush-Yds-TDs,24-92-1,26-102-0
Cmp-Att-Yd-TD-INT,18-32-204-1-1,27-34-307-4-1
Sacked-Yards,2-16,3-22
Net Pass Yards,188,285
Total Yards,280,387
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,4-25,4-21
Third Down Conv.,4-13,6-12
Fourth Down Conv.,1-2,1-1
Time of Possession,24:32,35:28
