Unnamed: 0,KAN,MIA
First Downs,22,27
Rush-Yds-TDs,24-94-1,24-80-1
Cmp-Att-Yd-TD-INT,24-34-393-2-3,28-49-316-2-1
Sacked-Yards,3-39,4-29
Net Pass Yards,354,287
Total Yards,448,367
Fumbles-Lost,2-1,1-0
Turnovers,4,1
Penalties-Yards,8-56,3-35
Third Down Conv.,5-11,7-15
Fourth Down Conv.,1-1,0-0
Time of Possession,28:30,31:30
