Unnamed: 0,NOR,TAM
First Downs,19,14
Rush-Yds-TDs,26-99-1,32-87-2
Cmp-Att-Yd-TD-INT,26-44-260-1-1,10-16-243-2-0
Sacked-Yards,2-16,0-0
Net Pass Yards,244,243
Total Yards,343,330
Fumbles-Lost,3-1,0-0
Turnovers,2,0
Penalties-Yards,3-35,2-10
Third Down Conv.,8-18,5-11
Fourth Down Conv.,2-4,0-0
Time of Possession,33:08,26:52
