Quarter,Time,Down,ToGo,Location,DET,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss and deferred, Lions to receive the opening kickoff.",,
1,15:00,,,MIN 35,0,0,"Blair Walsh kicks off 68 yards, returned by Stefan Logan for 17 yards (tackle by Tyrone McKenzie)",0.000,-0.280
1,14:56,1,10,DET 14,0,0,Mikel Leshoure left guard for 1 yard (tackle by Fred Evans and Jasper Brinkley),-0.280,-0.640
1,14:21,2,9,DET 15,0,0,Matthew Stafford pass complete short middle to Brandon Pettigrew for 10 yards (tackle by Erin Henderson),-0.640,0.610
1,13:45,1,10,DET 25,0,0,Matthew Stafford pass complete short right to Calvin Johnson for 11 yards (tackle by Antoine Winfield),0.610,1.330
1,13:10,1,10,DET 36,0,0,"Mikel Leshoure up the middle for 2 yards (tackle by Fred Evans). Penalty on Ryan Broyles: Illegal Crackback, 15 yards",1.330,0.480
1,12:40,1,23,DET 23,0,0,Mikel Leshoure up the middle for 4 yards (tackle by Antoine Winfield),0.480,-0.430
1,12:11,2,19,DET 27,0,0,Matthew Stafford pass incomplete short left intended for Titus Young,-0.430,-1.090
1,12:06,3,19,DET 27,0,0,Matthew Stafford pass complete short left to Joique Bell for 5 yards,-1.090,-1.240
1,11:34,4,14,DET 32,0,0,"Nick Harris punts 40 yards, returned by Marcus Sherels for 5 yards (tackle by Tahir Whitehead)",-1.240,-1.140
1,11:23,1,10,MIN 33,0,0,Christian Ponder pass complete short right to Jerome Felton for 5 yards (tackle by Justin Durant),1.140,1.270
1,10:49,2,5,MIN 38,0,0,Adrian Peterson up the middle for 7 yards,1.270,1.930
1,10:19,1,10,MIN 45,0,0,Adrian Peterson left end for 2 yards (tackle by Kyle Vanden Bosch),1.930,1.650
1,9:41,2,8,MIN 47,0,0,Adrian Peterson up the middle for -2 yards (tackle by Nick Fairley),1.650,0.700
1,9:11,3,10,MIN 45,0,0,Christian Ponder pass complete deep middle to Jarius Wright for 54 yards (tackle by Erik Coleman),0.700,0.000
1,8:31,,,,0,0,Timeout #1 by Detroit Lions,0.000,6.970
1,8:31,1,1,DET 1,0,0,"Penalty on Kyle Rudolph: False Start, 5 yards (no play)",6.970,5.830
1,8:30,1,6,DET 6,0,0,Adrian Peterson up the middle for 3 yards (tackle by Erik Coleman and Kyle Vanden Bosch),5.830,5.530
1,7:57,2,3,DET 3,0,6,"Christian Ponder pass complete short left to Jarius Wright for 3 yards, touchdown",5.530,7.000
1,7:57,,,DET 2,0,7,Blair Walsh kicks extra point good,0.000,0.000
1,7:52,,,MIN 35,0,7,"Blair Walsh kicks off 70 yards, touchback",0.000,0.280
1,7:52,1,10,DET 20,0,7,Matthew Stafford pass incomplete short right intended for Brandon Pettigrew (defended by Brian Robison),0.280,-0.270
1,7:47,2,10,DET 20,0,7,Matthew Stafford pass incomplete short left intended for Titus Young,-0.270,-0.960
1,7:44,3,10,DET 20,0,7,Matthew Stafford pass incomplete short right intended for Brandon Pettigrew is intercepted by Chad Greenway at DET-28 and returned for 3 yards (tackle by Brandon Pettigrew),-0.960,-3.910
1,7:38,1,10,DET 25,0,7,Christian Ponder pass complete short right to Christian Ponder for -15 yards (tackle by Cliff Avril),3.910,1.340
1,7:03,2,25,DET 40,0,7,Christian Ponder pass complete short left to Jerome Simpson for 2 yards (tackle by Justin Durant),1.340,0.960
1,6:21,3,23,DET 38,0,7,Christian Ponder pass complete short left to Kyle Rudolph for 8 yards (tackle by Justin Durant and Kyle Vanden Bosch),0.960,1.410
1,5:45,4,15,DET 30,0,10,Blair Walsh 48 yard field goal good,1.410,3.000
1,5:41,,,MIN 35,0,10,"Blair Walsh kicks off 74 yards, touchback",0.000,0.280
1,5:41,1,10,DET 20,0,10,Matthew Stafford pass complete short left to Calvin Johnson for no gain,0.280,-0.270
1,5:07,2,10,DET 20,0,10,Mikel Leshoure right tackle for 3 yards (tackle by Jasper Brinkley),-0.270,-0.560
1,4:24,3,7,DET 23,0,10,Matthew Stafford pass incomplete short right intended for Joique Bell,-0.560,-1.830
1,4:19,4,7,DET 23,0,10,"Nick Harris punts 32 yards, returned by Marcus Sherels for 1 yard (tackle by Erik Coleman)",-1.830,-1.990
1,4:10,1,10,MIN 46,0,10,Adrian Peterson up the middle for 1 yard (tackle by Justin Durant and Stephen Tulloch),1.990,1.590
1,3:38,2,9,MIN 47,0,10,Christian Ponder sacked by Nick Fairley for -7 yards,1.590,-0.030
1,3:05,3,16,MIN 40,0,10,Christian Ponder pass incomplete short middle intended for Jarius Wright,-0.030,-0.720
1,3:02,4,16,MIN 40,0,10,"Chris Kluwe punts 45 yards, fair catch by Stefan Logan. Penalty on Alphonso Smith: Offensive Holding, 7 yards",-0.720,0.380
1,2:54,1,10,DET 8,0,10,"Mikel Leshoure left end for 5 yards (tackle by Jasper Brinkley). Penalty on Everson Griffen: Defensive Offside, 5 yards (no play)",-0.380,-0.070
1,2:30,1,5,DET 13,0,10,Matthew Stafford pass complete short left to Titus Young for 7 yards (tackle by A.J. Jefferson),-0.070,0.280
1,1:56,1,10,DET 20,0,10,Mikel Leshoure right tackle for -1 yards (tackle by Jasper Brinkley),0.280,-0.460
1,1:17,2,11,DET 19,0,10,Matthew Stafford pass complete short middle to Titus Young for 16 yards (tackle by Antoine Winfield),-0.460,1.270
1,0:41,1,10,DET 35,0,10,Mikel Leshoure left tackle for 4 yards (tackle by Antoine Winfield),1.270,1.260
1,0:02,2,6,DET 39,0,10,Matthew Stafford pass complete short left to Ryan Broyles for 6 yards (tackle by Chad Greenway),1.260,1.930
Quarter,Time,Down,ToGo,Location,DET,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DET 45,0,10,Matthew Stafford for 9 yards,1.930,2.600
