Quarter,Time,Tm,Detail,DET,MIN
1.0,7:52,Vikings,Jarius Wright 3 yard pass from Christian Ponder (Blair Walsh kick),0,7
,5:41,Vikings,Blair Walsh 48 yard field goal,0,10
2.0,11:07,Lions,Jason Hanson 41 yard field goal,3,10
,4:41,Vikings,Blair Walsh 23 yard field goal,3,13
3.0,5:11,Vikings,Blair Walsh 23 yard field goal,3,16
,2:55,Lions,Brandon Pettigrew 16 yard pass from Matthew Stafford (Jason Hanson kick),10,16
4.0,14:15,Vikings,Kyle Rudolph 20 yard pass from Christian Ponder (Adrian Peterson run),10,24
,11:32,Lions,Titus Young 1 yard pass from Matthew Stafford (Jason Hanson kick),17,24
,8:06,Vikings,Adrian Peterson 61 yard rush (Blair Walsh kick),17,31
,4:36,Vikings,Blair Walsh 33 yard field goal,17,34
,1:53,Lions,Calvin Johnson 11 yard pass from Matthew Stafford (Jason Hanson kick),24,34
