Unnamed: 0,DET,MIN
First Downs,23,18
Rush-Yds-TDs,17-60-0,34-196-1
Cmp-Att-Yd-TD-INT,28-42-329-3-1,24-32-221-2-0
Sacked-Yards,2-21,2-14
Net Pass Yards,308,207
Total Yards,368,403
Fumbles-Lost,2-1,1-0
Turnovers,2,0
Penalties-Yards,6-57,7-47
Third Down Conv.,1-9,4-15
Fourth Down Conv.,0-0,0-0
Time of Possession,25:36,34:24
