Quarter,Time,Tm,Detail,BUF,NYJ
1.0,8:26,Bills,Mike Hollis 43 yard field goal,3,0
,2:54,Jets,John Hall 23 yard field goal,3,3
2.0,11:09,Jets,LaMont Jordan 1 yard rush (John Hall kick),3,10
,2:54,Jets,Curtis Martin 9 yard rush (John Hall kick),3,17
3.0,12:53,Jets,Laveranues Coles 11 yard pass from Chad Pennington (John Hall kick),3,24
,7:53,Bills,Travis Henry 1 yard rush (Mike Hollis kick),10,24
,1:36,Bills,Mike Hollis 40 yard field goal,13,24
4.0,9:44,Jets,Chad Pennington 1 yard rush (John Hall kick),13,31
