Quarter,Time,Down,ToGo,Location,BUF,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss, Bills to receive the opening kickoff.",,
1,15:00,,,NYJ 30,0,0,"John Hall kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,BUF 20,0,0,Drew Bledsoe pass complete to Travis Henry for 7 yards (tackle by John Abraham and Sam Cowart),0.280,0.680
1,14:19,2,3,BUF 27,0,0,Travis Henry left tackle for 7 yards (tackle by Sam Garnes and Damien Robinson),0.680,1.200
1,13:42,1,10,BUF 34,0,0,Travis Henry left tackle for 1 yard (tackle by Sam Cowart and Shaun Ellis),1.200,0.790
1,13:00,2,9,BUF 35,0,0,Drew Bledsoe pass incomplete intended for Eric Moulds,0.790,0.100
1,12:55,3,9,BUF 35,0,0,Drew Bledsoe pass complete to Josh Reed for 12 yards (tackle by Ray Mickens),0.100,2.060
1,12:11,1,10,BUF 47,0,0,Drew Bledsoe pass complete to Travis Henry for 6 yards (tackle by Sam Cowart),2.060,2.330
1,11:39,2,4,NYJ 47,0,0,Drew Bledsoe pass complete to Peerless Price for 12 yards,2.330,3.250
1,11:14,1,10,NYJ 35,0,0,Drew Bledsoe pass complete to Travis Henry for 8 yards (tackle by Steve White),3.250,3.780
1,10:31,2,2,NYJ 27,0,0,Travis Henry right guard for 4 yards (tackle by Sam Cowart and Jon McGraw),3.780,4.040
1,9:48,1,10,NYJ 23,0,0,Drew Bledsoe pass complete to Travis Henry for -7 yards (tackle by Sam Cowart),4.040,2.550
1,9:31,2,17,NYJ 30,0,0,Sammy Morris middle for 5 yards (tackle by Jason Ferguson and Shaun Ellis),2.550,2.540
1,8:37,3,12,NYJ 25,0,0,Drew Bledsoe pass incomplete intended for Josh Reed,2.540,1.800
1,8:31,4,12,NYJ 25,3,0,Mike Hollis 43 yard field goal good,1.800,3.000
1,8:31,,,BUF 30,3,0,"Mike Hollis kicks off 38 yards, returned by James Reed for 5 yards (tackle by Greg Favors)",0.000,1.400
1,8:22,1,10,NYJ 37,3,0,Curtis Martin right end for 9 yards (tackle by Pierson Prioleau and London Fletcher),1.400,2.070
1,7:42,2,1,NYJ 46,3,0,Curtis Martin right guard for 2 yards (tackle by Pat Williams),2.070,2.130
