Quarter,Time,Tm,Detail,SFO,LAR
2.0,8:46,Rams,Cooper Kupp 16 yard pass from Matthew Stafford (Matt Gay kick),0,7
,6:10,49ers,Deebo Samuel 44 yard pass from Jimmy Garoppolo (Robbie Gould kick),7,7
,0:00,49ers,Robbie Gould 38 yard field goal,10,7
3.0,1:59,49ers,George Kittle 16 yard pass from Jimmy Garoppolo (Robbie Gould kick),17,7
4.0,13:30,Rams,Cooper Kupp 11 yard pass from Matthew Stafford (Matt Gay kick),17,14
,6:49,Rams,Matt Gay 40 yard field goal,17,17
,1:46,Rams,Matt Gay 30 yard field goal,17,20
