Unnamed: 0,SFO,LAR
First Downs,16,25
Rush-Yds-TDs,20-50-0,29-70-0
Cmp-Att-Yd-TD-INT,16-30-232-2-1,31-45-337-2-1
Sacked-Yards,0-0,2-11
Net Pass Yards,232,326
Total Yards,282,396
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,6-54,2-10
Third Down Conv.,3-9,11-18
Fourth Down Conv.,0-0,0-1
Time of Possession,24:21,35:39
