Quarter,Time,Tm,Detail,DAL,NYG
1.0,13:23,Giants,Aldrick Rosas 21 yard field goal,0,3
,8:19,Cowboys,Brett Maher 35 yard field goal,3,3
2.0,11:55,Giants,Cody Latimer 1 yard pass from Daniel Jones (Aldrick Rosas kick failed),3,9
,2:50,Giants,Aldrick Rosas 25 yard field goal,3,12
,0:52,Cowboys,Blake Jarwin 42 yard pass from Dak Prescott (Brett Maher kick),10,12
,0:00,Cowboys,Brett Maher 52 yard field goal,13,12
3.0,4:43,Cowboys,Brett Maher 28 yard field goal,16,12
,0:27,Giants,Aldrick Rosas 26 yard field goal,16,15
4.0,12:40,Cowboys,Michael Gallup 15 yard pass from Dak Prescott (Brett Maher kick),23,15
,11:50,Giants,Aldrick Rosas 29 yard field goal,23,18
,7:56,Cowboys,Amari Cooper 45 yard pass from Dak Prescott (Brett Maher kick),30,18
,0:06,Cowboys,Jourdan Lewis 63 yard fumble return (Brett Maher kick),37,18
