Unnamed: 0,DAL,NYG
First Downs,24,20
Rush-Yds-TDs,30-172-0,22-100-0
Cmp-Att-Yd-TD-INT,22-35-257-3-1,26-41-210-1-1
Sacked-Yards,0-0,5-39
Net Pass Yards,257,171
Total Yards,429,271
Fumbles-Lost,2-1,2-2
Turnovers,2,3
Penalties-Yards,10-104,8-71
Third Down Conv.,4-11,5-16
Fourth Down Conv.,0-0,1-1
Time of Possession,28:04,31:56
