Quarter,Time,Down,ToGo,Location,LAC,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Wil Lutz kicks off 65 yards, returned by Tyron Johnson for 15 yards (tackle by Zack Baun)",0.000,-0.220
1,14:57,1,10,LAC 15,0,0,Justin Jackson left tackle for 2 yards (tackle by Cameron Jordan),-0.220,-0.440
1,14:25,2,8,LAC 17,0,0,Justin Herbert pass incomplete short right intended for Hunter Henry,-0.440,-1.120
1,14:20,3,8,LAC 17,0,0,Justin Herbert right guard for 5 yards (tackle by Cameron Jordan and Marshon Lattimore),-1.120,-1.900
1,13:33,4,3,LAC 22,0,0,"Ty Long punts 50 yards, returned by Marquez Callaway for 19 yards (tackle by Emeke Egbule)",-1.900,-2.060
1,13:23,1,10,NOR 47,0,0,Latavius Murray left tackle for 8 yards (tackle by Kyzir White),2.060,2.600
1,12:54,2,2,LAC 45,0,0,Alvin Kamara left guard for 5 yards (tackle by Linval Joseph),2.600,2.920
1,12:24,1,10,LAC 40,0,0,Latavius Murray right guard for 4 yards (tackle by Jerry Tillery),2.920,2.910
1,11:48,2,6,LAC 36,0,0,Drew Brees pass complete short right to Alvin Kamara for -5 yards (tackle by Kyzir White),2.910,1.550
1,11:08,3,11,LAC 41,0,0,Drew Brees pass incomplete short right intended for Alvin Kamara,1.550,0.530
1,11:05,4,11,LAC 41,0,0,"Thomas Morstead punts 41 yards, touchback.",0.530,-0.280
1,10:59,1,10,LAC 20,0,0,Tyron Johnson right end for 7 yards (tackle by Cameron Jordan and Demario Davis),0.280,0.680
1,10:20,2,3,LAC 27,0,0,Joshua Kelley left tackle for 4 yards (tackle by Cameron Jordan),0.680,1.000
1,9:40,1,10,LAC 31,0,0,Joshua Kelley left tackle for no gain (tackle by Shy Tuttle),1.000,0.460
1,9:07,2,10,LAC 31,0,0,Justin Herbert pass complete short left to Keenan Allen for 12 yards (tackle by Marshon Lattimore),0.460,1.800
1,8:30,1,10,LAC 43,0,0,Justin Jackson right guard for 1 yard (tackle by Zack Baun and Demario Davis),1.800,1.390
1,7:56,2,9,LAC 44,0,0,Justin Jackson right guard for 36 yards (tackle by Marcus Williams),1.390,4.240
1,7:17,1,10,NOR 20,0,0,Joshua Kelley right guard for 3 yards (tackle by Patrick Robinson and Demario Davis),4.240,4.120
1,6:40,2,7,NOR 17,0,0,Justin Herbert pass incomplete deep left intended for Donald Parham,4.120,3.360
1,6:33,,,,,,Timeout #1 by Los Angeles Chargers,,
1,6:33,3,7,NOR 17,6,0,"Justin Herbert pass complete deep right to Keenan Allen for 17 yards, touchdown",3.360,7.000
1,6:26,,,NOR 15,6,0,Michael Badgley kicks extra point no good wide right,0.000,-1.000
1,6:26,,,LAC 35,6,0,"Ty Long kicks off 72 yards, returned by Marquez Callaway for 29 yards (tackle by Alohi Gilman)",0.000,0.410
1,6:22,1,10,NOR 22,6,0,Alvin Kamara left guard for 1 yard (tackle by Michael Davis),0.410,0.000
1,5:52,2,9,NOR 23,6,0,Latavius Murray left guard for no gain (tackle by Isaac Rochell),0.000,-0.690
1,5:17,3,9,NOR 23,6,0,Drew Brees pass complete short right to Emmanuel Sanders for 14 yards (tackle by Casey Hayward),-0.690,1.400
1,4:36,1,10,NOR 37,6,0,Taysom Hill pass incomplete short right intended for Marquez Callaway (defended by Casey Hayward),1.400,0.860
1,4:29,2,10,NOR 37,6,0,Drew Brees pass incomplete short middle intended for Taysom Hill,0.860,0.170
1,4:25,3,10,NOR 37,6,0,Drew Brees pass incomplete short left intended for Tre'Quan Smith,0.170,-0.910
1,4:20,4,10,NOR 37,6,0,"Thomas Morstead punts 46 yards, fair catch by K.J. Hill at LAC-17",-0.910,0.060
1,4:12,1,10,LAC 17,6,0,Justin Herbert pass incomplete deep middle intended for Jalen Guyton (defended by Marcus Davenport),-0.060,-0.580
1,4:05,2,10,LAC 17,6,0,Justin Jackson left guard for -2 yards (tackle by Sheldon Rankins) Penalty on LAC: Illegal Shift (Declined),-0.580,-1.570
1,3:39,3,12,LAC 15,6,0,Justin Herbert sacked by Trey Hendrickson for -9 yards,-1.570,-2.490
1,2:53,4,21,LAC 6,6,0,"Ty Long punts 57 yards, returned by Marquez Callaway for 15 yards (tackle by Justin Jackson and Brandon Facyson)",-2.490,-2.390
1,2:41,1,10,LAC 48,6,0,Drew Brees pass complete short left to Latavius Murray for 10 yards (tackle by Kyzir White),2.390,3.050
1,2:04,1,10,LAC 38,6,0,Latavius Murray right guard for 3 yards (tackle by Michael Davis),3.050,2.910
1,1:28,2,7,LAC 35,6,0,Drew Brees pass complete short left to Tre'Quan Smith for 4 yards (tackle by Michael Davis),2.910,2.740
1,0:43,3,3,LAC 31,6,0,Taysom Hill left tackle for 1 yard (tackle by Kyzir White and Kenneth Murray),2.740,1.500
1,0:01,4,2,LAC 30,6,3,Wil Lutz 48 yard field goal good,1.500,3.000
Quarter,Time,Down,ToGo,Location,LAC,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,,,NOR 35,6,3,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
2,15:00,1,10,LAC 25,6,3,Jalen Guyton right end for -4 yards (tackle by Cameron Jordan and Demario Davis),0.610,-0.480
2,14:25,2,14,LAC 21,6,3,Justin Herbert pass complete short right to Hunter Henry for 8 yards (tackle by Demario Davis),-0.480,-0.100
2,13:49,3,6,LAC 29,6,3,Justin Herbert sacked by and Cameron Jordan for -8 yards and Trey Hendrickson for -8 yards,-0.100,-1.960
2,13:12,4,14,LAC 21,6,3,"Ty Long punts 58 yards, returned by Marquez Callaway for 18 yards (tackle by Gabe Nabers). Penalty on J.T. Gray: Offensive Holding (Declined) . Penalty on Dwayne Washington: Roughing the Kicker, 15 yards (no play)",-1.960,1.330
2,13:00,1,10,LAC 36,6,3,Joshua Kelley right guard for 2 yards (tackle by Alex Anzalone and Malcom Brown),1.330,1.060
2,12:25,2,8,LAC 38,6,3,Justin Herbert pass complete short left to Joshua Kelley for 9 yards (tackle by Alex Anzalone),1.060,2.060
2,11:53,1,10,LAC 47,6,3,Justin Herbert pass complete deep middle to Jalen Guyton for 49 yards (tackle by Marshon Lattimore),2.060,6.280
2,11:07,1,4,NOR 4,12,3,"Justin Herbert pass complete short left to Mike Williams for 4 yards, touchdown",6.280,7.000
2,11:01,,,NOR 15,13,3,Michael Badgley kicks extra point good,0.000,0.000
2,11:01,,,LAC 35,13,3,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
2,11:01,1,10,NOR 25,13,3,Drew Brees pass incomplete short left intended for Marquez Callaway,0.610,0.060
2,10:54,2,10,NOR 25,13,3,Drew Brees pass complete short middle to Alvin Kamara for 9 yards (tackle by Rayshawn Jenkins),0.060,0.560
2,10:16,3,1,NOR 34,13,3,Michael Burton right guard for no gain (tackle by Kenneth Murray and Casey Hayward),0.560,-1.110
2,9:29,4,1,NOR 34,13,3,"Thomas Morstead punts 46 yards, fair catch by K.J. Hill at LAC-20",-1.110,-0.280
2,9:21,1,10,LAC 20,13,3,Justin Herbert pass complete short right to Justin Jackson for 1 yard (tackle by Chauncey Gardner-Johnson),0.280,-0.130
2,8:47,2,9,LAC 21,13,3,"Justin Herbert pass complete short right to Justin Jackson for 5 yards (tackle by Shy Tuttle). Penalty on Dan Feeney: Illegal Block Above the Waist, 10 yards (no play)",-0.130,-1.440
2,8:21,2,19,LAC 11,13,3,Joshua Kelley up the middle for 9 yards (tackle by Alex Anzalone),-1.440,-0.960
2,7:40,3,10,LAC 20,13,3,Justin Herbert pass complete short left to Justin Jackson for 6 yards (tackle by Marshon Lattimore),-0.960,-1.630
2,7:01,4,4,LAC 26,13,3,"Ty Long punts 57 yards, returned by Marquez Callaway for 9 yards (tackle by Joshua Kelley). Penalty on J.T. Gray: Offensive Holding, 10 yards",-1.630,0.140
2,6:47,1,10,NOR 16,13,3,Alvin Kamara left guard for 6 yards (tackle by Kyzir White),-0.140,0.280
2,6:08,2,4,NOR 22,13,3,Drew Brees pass incomplete short left intended for Emmanuel Sanders (defended by Cortez Broughton),0.280,-0.570
