Unnamed: 0,LAC,NOR
First Downs,19,23
Rush-Yds-TDs,32-111-0,25-95-2
Cmp-Att-Yd-TD-INT,20-34-264-4-0,33-48-325-1-1
Sacked-Yards,3-25,2-12
Net Pass Yards,239,313
Total Yards,350,408
Fumbles-Lost,1-0,1-0
Turnovers,0,1
Penalties-Yards,1-10,5-60
Third Down Conv.,8-17,5-15
Fourth Down Conv.,0-1,0-0
Time of Possession,30:42,35:01
