Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Justin Jackson,LAC,15,71,0,4,51,3.4,20,1.3,1,15.0
Joshua Kelley,LAC,11,29,0,1,17,1.5,12,1.1,1,11.0
Justin Herbert,LAC,4,8,0,0,5,1.3,3,0.8,0,
Jalen Guyton,LAC,1,-4,0,0,-4,-4.0,0,0.0,0,
Tyron Johnson,LAC,1,7,0,,4,4.0,3,3.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Alvin Kamara,NOR,11,45,0,3,33,3.0,12,1.1,0,
Latavius Murray,NOR,8,34,0,0,22,2.8,12,1.5,0,
Taysom Hill,NOR,3,13,1,1,13,4.3,0,0.0,0,
Michael Burton,NOR,2,2,0,1,1,0.5,1,0.5,0,
Drew Brees,NOR,1,1,1,1,1,1.0,0,0.0,0,
