Quarter,Time,Tm,Detail,LAC,NOR
1,6:26,Chargers,Keenan Allen 17 yard pass from Justin Herbert (Michael Badgley kick failed),6,0
,0:00,Saints,Wil Lutz 48 yard field goal,6,3
2,11:01,Chargers,Mike Williams 4 yard pass from Justin Herbert (Michael Badgley kick),13,3
,4:25,Chargers,Hunter Henry 3 yard pass from Justin Herbert (Michael Badgley kick),20,3
,0:14,Saints,Drew Brees 1 yard rush (Wil Lutz kick),20,10
3,4:52,Saints,Wil Lutz 53 yard field goal,20,13
4,11:21,Saints,Jared Cook 41 yard pass from Drew Brees (Wil Lutz kick),20,20
,3:40,Chargers,Mike Williams 64 yard pass from Justin Herbert (Michael Badgley kick),27,20
,0:52,Saints,Taysom Hill 9 yard rush (Wil Lutz kick),27,27
OT,5:08,Saints,Wil Lutz 36 yard field goal,27,30
