Quarter,Time,Tm,Detail,CHI,PIT
1.0,9:42,Steelers,Najee Harris 10 yard rush (Chris Boswell kick),0,7
2.0,13:22,Steelers,Pat Freiermuth 4 yard pass from Ben Roethlisberger (Chris Boswell kick),0,14
,0:15,Bears,Cairo Santos 30 yard field goal,3,14
3.0,7:43,Bears,Cairo Santos 22 yard field goal,6,14
,2:08,Steelers,Pat Freiermuth 10 yard pass from Ben Roethlisberger (Chris Boswell kick failed),6,20
4.0,14:17,Bears,Darnell Mooney 15 yard rush (Cairo Santos kick),13,20
,11:54,Steelers,Chris Boswell 54 yard field goal,13,23
,6:31,Bears,DeAndre Houston-Carson 25 yard fumble return (Cairo Santos kick),20,23
,2:52,Steelers,Chris Boswell 52 yard field goal,20,26
,1:46,Bears,Darnell Mooney 16 yard pass from Justin Fields (Cairo Santos kick),27,26
,0:26,Steelers,Chris Boswell 40 yard field goal,27,29
