Quarter,Time,Down,ToGo,Location,CHI,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,PIT 35,0,0,"Chris Boswell kicks off 68 yards, returned by Jakeem Grant for 25 yards (tackle by Ulysees Gilbert and Cody White)",,
1,14:56,1,10,CHI 22,0,0,David Montgomery right tackle for 2 yards (tackle by T.J. Watt),,
1,14:23,2,8,CHI 24,0,0,David Montgomery up the middle for 3 yards (tackle by Arthur Maulet),,
1,13:49,3,5,CHI 27,0,0,Justin Fields pass complete short left to Allen Robinson for 3 yards (tackle by Cameron Sutton),,
1,13:13,4,2,CHI 30,0,0,"Pat O'Donnell punts 43 yards, returned by Ray-Ray McCloud for 14 yards (tackle by Ryan Nall)",,
1,13:02,1,10,PIT 41,0,0,"Ben Roethlisberger pass incomplete short right intended for Chase Claypool (defended by Kindle Vildor). Penalty on Eddie Goldman: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",,
1,12:59,1,10,PIT 46,0,0,Najee Harris right tackle for 1 yard (tackle by Roquan Smith),,
1,12:24,2,9,PIT 47,0,0,Ben Roethlisberger pass complete short left to Diontae Johnson for 2 yards (tackle by Duke Shelley),,
1,11:41,3,7,PIT 49,0,0,Ben Roethlisberger pass complete deep right to Chase Claypool for 26 yards (tackle by Kindle Vildor),,
1,10:59,1,10,CHI 25,0,0,Najee Harris up the middle for 3 yards (tackle by Akiem Hicks),,
1,10:19,2,7,CHI 22,0,0,James Washington left end for 12 yards (tackle by DeAndre Houston-Carson),,
1,9:46,1,10,CHI 10,0,6,"Najee Harris left guard for 10 yards, touchdown",,
1,9:42,,,CHI 15,0,7,Chris Boswell kicks extra point good,,
1,9:42,,,PIT 35,0,7,"Chris Boswell kicks off 70 yards, returned by Jakeem Grant for 16 yards (tackle by Derek Watt)",,
1,9:37,1,10,CHI 11,0,7,"Penalty on Jason Peters: False Start, 5 yards (accepted) (no play)",,
1,9:37,1,15,CHI 6,0,7,Justin Fields right end for 8 yards (tackle by Terrell Edmunds),,
1,9:04,,,,,,Timeout #1 by Chicago Bears,,
1,9:04,2,7,CHI 14,0,7,Justin Fields pass complete short left to Allen Robinson for no gain (no play),,
1,8:42,2,12,CHI 9,0,7,Justin Fields pass incomplete deep right intended for Marquise Goodwin,,
1,8:35,3,12,CHI 9,0,7,Justin Fields pass complete short middle to David Montgomery for 6 yards (tackle by Terrell Edmunds),,
1,7:51,4,6,CHI 15,0,7,"Pat O'Donnell punts 49 yards, returned by Ray-Ray McCloud for 6 yards (tackle by Duke Shelley)",,
1,7:40,1,10,PIT 42,0,7,Ben Roethlisberger pass incomplete short middle intended for Pat Freiermuth,,
1,7:37,2,10,PIT 42,0,7,Ben Roethlisberger pass complete short middle to Pat Freiermuth for 9 yards (tackle by Christian Jones and DeAndre Houston-Carson),,
1,6:50,3,1,CHI 49,0,7,Najee Harris left guard for 2 yards (tackle by Robert Quinn and Tashaun Gipson),,
1,6:09,1,10,CHI 47,0,7,Ben Roethlisberger sacked by Robert Quinn for -5 yards,,
1,5:27,2,15,PIT 48,0,7,Najee Harris up the middle for 2 yards (tackle by Akiem Hicks),,
1,4:41,3,13,PIT 50,0,7,Ben Roethlisberger pass incomplete short middle intended for James Washington,,
1,4:36,4,13,PIT 50,0,7,"Pressley Harvin punts 38 yards, fair catch by Jakeem Grant at CHI-12",,
1,4:29,1,10,CHI 12,0,7,David Montgomery left end for 21 yards (tackle by Minkah Fitzpatrick),,
1,4:01,1,10,CHI 33,0,7,David Montgomery right guard for 2 yards (tackle by Taco Charlton),,
1,3:23,2,8,CHI 35,0,7,Justin Fields scrambles left guard for 8 yards (tackle by Terrell Edmunds),,
1,2:50,1,10,CHI 43,0,7,Justin Fields sacked by T.J. Watt for -1 yards,,
1,2:08,2,11,CHI 42,0,7,Justin Fields pass short middle intended for Darnell Mooney is intercepted by Cameron Heyward at CHI-36 and returned for no gain (tackle by Sam Mustipher),,
1,2:03,1,10,CHI 36,0,7,Najee Harris left tackle for 7 yards (tackle by Danny Trevathan),,
1,1:18,2,3,CHI 29,0,7,Najee Harris left guard for 2 yards (tackle by Trevis Gipson),,
1,0:49,3,1,CHI 27,0,7,Najee Harris left guard for no gain (tackle by Danny Trevathan and Roquan Smith),,
1,0:12,4,1,CHI 27,0,7,Najee Harris left guard for 2 yards (tackle by Danny Trevathan and Roquan Smith),,
Quarter,Time,Down,ToGo,Location,CHI,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CHI 25,0,7,"Benny Snell for 5 yards (tackle by Cassius Marsh). Penalty on Angelo Blackson: Unnecessary Roughness / Defense, 15 yards (offset) . Penalty on Kendrick Green: Unnecessary Roughness / Offense, 15 yards (offset)",,
2,14:27,2,5,CHI 20,0,7,Ben Roethlisberger pass complete short left to Diontae Johnson for 11 yards (tackle by Jaylon Johnson),,
2,14:05,1,9,CHI 9,0,7,Ben Roethlisberger pass complete short right to Chase Claypool for no gain (tackle by Sam Kamara) (no play),,
2,13:37,1,3,CHI 4,0,7,Ben Roethlisberger pass incomplete short right intended for Chase Claypool (defended by Kindle Vildor),,
2,13:33,2,4,CHI 4,0,7,Ben Roethlisberger pass incomplete short middle,,
2,13:28,,,,,,Timeout #1 by Pittsburgh Steelers,,
2,13:28,3,4,CHI 4,0,13,"Ben Roethlisberger pass complete short left to Pat Freiermuth for 4 yards, touchdown",,
2,13:22,,,CHI 15,0,14,Chris Boswell kicks extra point good,,
2,13:22,,,PIT 35,0,14,"Chris Boswell kicks off 59 yards, returned by Jakeem Grant for 19 yards (tackle by Justin Layne)",,
2,13:13,1,10,CHI 25,0,14,Khalil Herbert left guard for 1 yard (tackle by Alex Highsmith and Chris Wormley),,
2,12:33,2,9,CHI 26,0,14,Justin Fields pass incomplete short middle intended for Marquise Goodwin,,
2,12:29,3,9,CHI 26,0,14,Justin Fields scrambles right end for 6 yards (tackle by Minkah Fitzpatrick),,
2,12:04,4,3,CHI 32,0,14,"Pat O'Donnell punts 54 yards, returned by Ray-Ray McCloud for 3 yards (tackle by DeAndre Houston-Carson)",,
2,11:49,1,10,PIT 17,0,14,Ben Roethlisberger pass complete short left to Chase Claypool for no gain (tackle by Robert Quinn and Jaylon Johnson),,
2,11:07,2,10,PIT 17,0,14,"Najee Harris left guard for 1 yard (tackle by Robert Quinn). Penalty on Kevin Dotson: Offensive Holding, 9 yards (accepted)",,
2,10:42,2,18,PIT 9,0,14,Najee Harris left tackle for 4 yards (tackle by Khyiris Tonga and Roquan Smith),,
2,9:56,3,14,PIT 13,0,14,Ben Roethlisberger pass complete short right to Pat Freiermuth for 7 yards (tackle by Duke Shelley),,
2,9:19,4,7,PIT 20,0,14,Pressley Harvin punts 32 yards out of bounds,,
2,9:12,1,10,CHI 48,0,14,Justin Fields pass complete deep left to Cole Kmet for 25 yards,,
2,8:51,1,10,PIT 27,0,14,Khalil Herbert up the middle for 2 yards (tackle by Alex Highsmith and T.J. Watt),,
2,8:12,2,8,PIT 25,0,14,Justin Fields sacked by T.J. Watt for -10 yards,,
2,7:29,3,18,PIT 35,0,14,"Justin Fields pass complete short right to Jakeem Grant for 16 yards (tackle by Joe Haden). Penalty on Sam Mustipher: Ineligible Downfield Pass, 5 yards (accepted) (no play)",,
2,6:56,3,23,PIT 40,0,14,Justin Fields pass incomplete deep middle intended for Cole Kmet,,
2,6:50,4,23,PIT 40,0,14,"Pat O'Donnell punts 31 yards, fair catch by Ray-Ray McCloud at PIT-9",,
2,6:44,1,10,PIT 9,0,14,Ben Roethlisberger pass complete short middle to Derek Watt for 3 yards (tackle by Akiem Hicks),,
2,6:08,2,7,PIT 12,0,14,Najee Harris right end for 5 yards (tackle by Tashaun Gipson),,
2,5:31,3,2,PIT 17,0,14,Ben Roethlisberger pass complete short right to Kevin Rader for 1 yard (tackle by Tashaun Gipson),,
2,5:00,4,1,PIT 18,0,14,Pressley Harvin punts 46 yards,,
2,4:47,1,10,CHI 36,0,14,Khalil Herbert left guard for 8 yards (tackle by Henry Mondeaux),,
2,4:12,2,2,CHI 44,0,14,David Montgomery up the middle for 1 yard (tackle by Henry Mondeaux and T.J. Watt),,
2,3:35,3,1,CHI 45,0,14,David Montgomery up the middle for no gain (tackle by Joe Schobert and Alex Highsmith),,
2,2:58,4,1,CHI 45,0,14,"Penalty on Cameron Heyward: Encroachment, 6 yards (accepted) (no play)",,
2,2:40,1,10,PIT 49,0,14,Justin Fields scrambles left end for 6 yards (tackle by Cameron Sutton),,
2,2:12,2,4,PIT 43,0,14,David Montgomery right end for 2 yards (tackle by Taco Charlton and Joe Schobert),,
2,2:00,3,2,PIT 41,0,14,David Montgomery right guard for 2 yards (tackle by Taco Charlton),,
