Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
David Montgomery,CHI,13,63,0,4,39,3.0,24,1.8,0,
Justin Fields,CHI,8,45,0,2,43,5.4,2,0.3,0,
Khalil Herbert,CHI,4,13,0,,4,1.0,9,2.3,0,
Darnell Mooney,CHI,1,15,1,1,15,15.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Najee Harris,PIT,22,62,1,5,40,1.8,22,1.0,4,5.5
Chase Claypool,PIT,2,13,0,2,9,4.5,4,2.0,0,
Diontae Johnson,PIT,2,11,0,0,11,5.5,0,0.0,0,
Ben Roethlisberger,PIT,2,0,0,0,-1,-0.5,1,0.5,0,
Benny Snell Jr.,PIT,2,6,0,1,5,2.5,1,0.5,0,
James Washington,PIT,2,13,0,0,10,5.0,3,1.5,0,
