Unnamed: 0,CHI,PIT
First Downs,20,20
Rush-Yds-TDs,26-136-1,32-105-1
Cmp-Att-Yd-TD-INT,17-29-291-1-1,21-30-205-2-0
Sacked-Yards,3-13,4-30
Net Pass Yards,278,175
Total Yards,414,280
Fumbles-Lost,1-1,1-1
Turnovers,2,1
Penalties-Yards,12-115,5-30
Third Down Conv.,4-12,6-17
Fourth Down Conv.,0-0,2-2
Time of Possession,26:02,33:58
