Quarter,Time,Tm,Detail,CAR,GNB
1.0,7:18,Panthers,Curtis Samuel 2 yard pass from Kyle Allen (Joey Slye kick),7,0
,3:35,Packers,Aaron Jones 5 yard rush (Mason Crosby kick),7,7
2.0,14:55,Panthers,Joey Slye 50 yard field goal,10,7
,9:20,Packers,Aaron Jones 1 yard rush (Mason Crosby kick),10,14
3.0,11:50,Packers,Aaron Jones 13 yard rush (Mason Crosby kick),10,21
,1:21,Packers,Mason Crosby 47 yard field goal,10,24
4.0,11:58,Panthers,Christian McCaffrey 3 yard rush (pass failed),16,24
