Quarter,Time,Down,ToGo,Location,CAR,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Panthers to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 66 yards, returned by DeAndrew White for 36 yards (tackle by Tony Brown and Tremon Smith)",0.000,1.270
1,14:53,1,10,CAR 35,0,0,Christian McCaffrey right guard for 2 yards (tackle by Blake Martinez),1.270,0.990
1,14:17,2,8,CAR 37,0,0,Christian McCaffrey right end for 3 yards (tackle by Kenny Clark),0.990,0.700
1,13:56,3,5,CAR 40,0,0,Kyle Allen pass complete short middle to D.J. Moore for 11 yards (tackle by Jaire Alexander),0.700,2.320
1,13:16,1,10,GNB 49,0,0,Kyle Allen pass incomplete deep right,2.320,1.780
1,13:10,2,10,GNB 49,0,0,Christian McCaffrey left tackle for 4 yards (tackle by Blake Martinez and Kenny Clark),1.780,1.620
1,12:31,3,6,GNB 45,0,0,Kyle Allen pass complete short left to Curtis Samuel for 3 yards (tackle by Kevin King),1.620,0.460
1,11:50,4,3,GNB 42,0,0,"Michael Palardy punts 32 yards, fair catch by Tremon Smith at GB-10",0.460,0.380
1,11:44,1,10,GNB 10,0,0,Aaron Jones right tackle for 9 yards (tackle by Ross Cockrell),-0.380,0.240
1,11:11,2,1,GNB 19,0,0,"Penalty on Jimmy Graham: False Start, 5 yards (no play)",0.240,-0.460
1,10:47,2,6,GNB 14,0,0,Aaron Rodgers pass complete short left to Geronimo Allison for 3 yards (tackle by Donte Jackson),-0.460,-0.600
1,10:05,3,3,GNB 17,0,0,Aaron Rodgers pass incomplete short right intended for Allen Lazard,-0.600,-2.320
1,9:59,4,3,GNB 17,0,0,"JK Scott punts 36 yards, fair catch by D.J. Moore at CAR-47",-2.320,-2.060
1,9:52,1,10,CAR 47,0,0,Kyle Allen pass complete deep right to D.J. Moore for 38 yards (tackle by Blake Martinez),2.060,4.580
1,9:17,1,10,GNB 15,0,0,Christian McCaffrey left end for 2 yards (tackle by Montravius Adams and Dean Lowry),4.580,4.280
1,8:41,2,8,GNB 13,0,0,Kyle Allen pass complete short left to Christian McCaffrey for 9 yards (tackle by Blake Martinez),4.280,6.280
1,8:04,1,4,GNB 4,0,0,Christian McCaffrey left guard for 2 yards (tackle by Kenny Clark and Za'Darius Smith),6.280,5.720
1,7:22,2,2,GNB 2,6,0,"Kyle Allen pass complete short right to Curtis Samuel for 2 yards, touchdown",5.720,7.000
1,7:18,,,GNB 15,7,0,Joey Slye kicks extra point good,0.000,0.000
1,7:18,,,CAR 35,7,0,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
1,7:18,1,10,GNB 25,7,0,"Aaron Rodgers pass incomplete deep left intended for Davante Adams. Penalty on Donte Jackson: Defensive Pass Interference, 20 yards (no play)",0.610,1.930
1,7:13,1,10,GNB 45,7,0,Aaron Jones up the middle for 4 yards (tackle by Luke Kuechly and Eric Reid),1.930,1.920
1,6:29,2,6,GNB 49,7,0,Aaron Rodgers pass complete short left to Jake Kumerow for 11 yards (tackle by Tre Boston),1.920,2.920
1,5:57,1,10,CAR 40,7,0,Aaron Jones right guard for 1 yard (tackle by Bruce Irvin),2.920,2.510
1,5:17,2,9,CAR 39,7,0,Aaron Rodgers pass incomplete deep left,2.510,1.820
1,5:11,3,9,CAR 39,7,0,Aaron Rodgers pass complete deep middle to Allen Lazard for 19 yards (tackle by Ross Cockrell),1.820,4.240
1,4:22,1,10,CAR 20,7,0,Aaron Rodgers pass complete short middle to Davante Adams for 15 yards (tackle by Brian Burns),4.240,6.060
1,3:39,1,5,CAR 5,7,6,"Aaron Jones up the middle for 5 yards, touchdown",6.060,7.000
1,3:35,,,CAR 15,7,7,Mason Crosby kicks extra point good,0.000,0.000
1,3:35,,,GNB 35,7,7,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
1,3:35,1,10,CAR 25,7,7,Christian McCaffrey left end for 4 yards (tackle by Blake Martinez),0.610,0.600
1,3:07,2,6,CAR 29,7,7,Kyle Allen right end for 8 yards (tackle by Tramon Williams),0.600,1.400
1,2:27,1,10,CAR 37,7,7,Kyle Allen pass complete short middle to Christian McCaffrey for 5 yards (tackle by Blake Martinez). Penalty on Matt Paradis: Offensive Holding (Offsetting) . Penalty on Dontari Poe: Roughing the Passer (Offsetting) (no play),1.400,1.400
1,2:05,1,10,CAR 37,7,7,Christian McCaffrey left end for 18 yards (tackle by Darnell Savage),1.400,2.590
1,1:25,1,10,GNB 45,7,7,Kyle Allen pass complete short middle to Greg Olsen for 16 yards (tackle by Jaire Alexander),2.590,3.640
1,0:45,1,10,GNB 29,7,7,Christian McCaffrey up the middle for no gain (tackle by Darnell Savage),3.640,3.100
1,0:12,2,10,GNB 29,7,7,Kyle Allen pass incomplete short right intended for Greg Olsen,3.100,2.410
1,0:08,3,10,GNB 29,7,7,Kyle Allen pass complete short right to Christian McCaffrey for -3 yards (tackle by Kenny Clark and Ibraheim Campbell),2.410,1.240
Quarter,Time,Down,ToGo,Location,CAR,GNB,Detail,EPB,EPA
