Quarter,Time,Tm,Detail,SFO,STL
1.0,2:00,49ers,Joe Nedney 48 yard field goal,3,0
2.0,13:07,Rams,Josh Brown 43 yard field goal,3,3
,1:12,Rams,Keenan Burton 30 yard pass from Marc Bulger (Josh Brown kick),3,10
,0:06,Rams,Josh Brown 38 yard field goal,3,13
4.0,11:36,Rams,Josh Brown 22 yard field goal,3,16
,4:03,49ers,Isaac Bruce 3 yard pass from Shaun Hill (Joe Nedney kick),10,16
,1:22,49ers,Josh Morgan 48 yard pass from Shaun Hill (Joe Nedney kick),17,16
