Unnamed: 0,DET,DAL
First Downs,21,17
Rush-Yds-TDs,31-125-1,21-61-0
Cmp-Att-Yd-TD-INT,20-35-302-1-2,26-38-345-2-1
Sacked-Yards,1-7,3-22
Net Pass Yards,295,323
Total Yards,420,384
Fumbles-Lost,0-0,2-1
Turnovers,2,2
Penalties-Yards,6-35,5-34
Third Down Conv.,4-13,7-14
Fourth Down Conv.,2-3,0-0
Time of Possession,30:36,29:24
