Unnamed: 0,DAL,SEA
First Downs,17,18
Rush-Yds-TDs,19-166-0,39-113-1
Cmp-Att-Yd-TD-INT,19-34-168-1-2,16-26-192-2-0
Sacked-Yards,5-31,2-10
Net Pass Yards,137,182
Total Yards,303,295
Fumbles-Lost,1-1,1-0
Turnovers,3,0
Penalties-Yards,7-55,10-67
Third Down Conv.,3-13,7-16
Fourth Down Conv.,1-2,0-0
Time of Possession,27:16,32:44
